Proteins,"Genes of polypeptide, complex, or RNA",Common-Name,Locations
G185E-4146-MONOMER,G185E-4146,possible 8-amino-7-oxononanoate synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7741-MONOMER,G185E-7741,"dTDP-glucose 4,6-dehydratase",CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7342-MONOMER,G185E-7342,serine/threonine-protein kinase transcriptional regulatory protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-6327-MONOMER,G185E-6327,ATP phosphoribosyltransferase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5923-MONOMER,G185E-5923,possible S-adenosylmethionine-dependent methyltransferase,CCI-PM-BAC-ACT-GP
G185E-8122-MONOMER,G185E-8122,long-chain fatty acid adenylyltransferase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7712-MONOMER,G185E-7712,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-4802-MONOMER,G185E-4802,toxin,
G185E-6295-MONOMER,G185E-6295,dipeptidase,CCI-PM-BAC-ACT-GP
G185E-6978-MONOMER,G185E-6978,hypothetical protein,
G185E-8093-MONOMER,G185E-8093,probable acyl-CoA dehydrogenase,CCI-CYTOSOL-GP
G185E-5564-MONOMER,G185E-5564,probable dihydroorotase,CCI-CYTOSOL-GP
G185E-4770-MONOMER,G185E-4770,probable enoyl-CoA hydratase,
G185E-4159-MONOMER,G185E-4159,possible hydrolase,
G185E-5151-MONOMER,G185E-5151,molybdopterin molybdenumtransferase 1,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5934-MONOMER,G185E-5934,probable sulfate-transport transmembrane protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-6949-MONOMER,G185E-6949,inositol-1-monophosphatase,CCI-CYTOSOL-GP
G185E-7355-MONOMER,G185E-7355,hypothetical oxidoreductase,
G185E-5533-MONOMER,G185E-5533,transcriptional repressor Rv1353c,CCI-CYTOSOL-GP
G185E-7725-MONOMER,G185E-7725,ESX conserved component EccD4. ESX-4 type VII secretion system protein. Probable integral membrane protein.,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4129-MONOMER,G185E-4129,penicillin-binding protein A,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6310-MONOMER,G185E-6310,possible antitoxin,
G185E-7325-MONOMER,G185E-7325,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-8106-MONOMER,G185E-8106,exported repetitive protein precursor,CCI-PERI-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5905-MONOMER,G185E-5905,probable GTP-binding protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4786-MONOMER,G185E-4786,methoxy mycolic acid synthase 3,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7696-MONOMER,G185E-7696,probable O-sialoglycoprotein endopeptidase,CCI-EXTRACELLULAR-GP // CCI-CYTOSOL-GP
G185E-5165-MONOMER,G185E-5165,methionyl-tRNA synthetase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6279-MONOMER,G185E-6279,possible pyridoxamine 5'-phosphate oxidase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-6962-MONOMER,G185E-6962,conserved alanine and leucine rich protein,CCI-CYTOSOL-GP
G185E-8077-MONOMER,G185E-8077,probable O-antigen/lipopolysaccharide transport ATP-binding protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-5547-MONOMER,G185E-5547,hypothetical protein,CCI-CYTOSOL-GP
G185E-6660-MONOMER,G185E-6660,alkyl hydroperoxide reductase D protein,CCI-PM-BAC-ACT-GP
G185E-4143-MONOMER,G185E-4143,conserved hypothetical protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4754-MONOMER,G185E-4754,possible antitoxin,
G185E-7339-MONOMER,G185E-7339,possible hydrolase,CCI-CYTOSOL-GP
G185E-5135-MONOMER,G185E-5135,hypothetical protein,
G185E-5919-MONOMER,G185E-5919,probable oxidoreductase,
G185E-6933-MONOMER,G185E-6933,probable arsenic-transport integral membrane protein ArsB1,CCI-PM-BAC-ACT-GP
G185E-7709-MONOMER,G185E-7709,probable glutamate decarboxylase,CCI-CYTOSOL-GP
G185E-5516-MONOMER,G185E-5516,probable integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-6292-MONOMER,G185E-6292,conserved hypothetical protein,
EG10823-MONOMER,,DNA recombination/repair protein RecA,
G185E-8090-MONOMER,G185E-8090,arabinogalactan arabinosyl transferase embA,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-7309-MONOMER,G185E-7309,ribonucleoside-diphosphate reductase (beta chain),CCI-CYTOSOL-GP
G185E-4767-MONOMER,G185E-4767,probable exonuclease V (alpha chain),CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5889-MONOMER,G185E-5889,outer membrane protein,CCI-OUTER-MEM-ACT-GP
G185E-5148-MONOMER,G185E-5148,conserved serine rich protein,CCI-EXTRACELLULAR-GP
G185E-7680-MONOMER,G185E-7680,hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6946-MONOMER,G185E-6946,probable conserved alanine rich transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-6263-MONOMER,G185E-6263,conserved hypothetical protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-5530-MONOMER,G185E-5530,probable 3-oxoacyl-[acyl-carrier protein] reductase,CCI-CYTOSOL-GP
G185E-8058-MONOMER,G185E-8058,possible S-adenosylmethionine-dependent methyltransferase,CCI-PM-BAC-ACT-GP
G185E-4126-MONOMER,G185E-4126,possible anthranilate synthase component II,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6643-MONOMER,G185E-6643,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-7322-MONOMER,G185E-7322,probable acyl-CoA dehydrogenase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4737-MONOMER,G185E-4737,two component DNA binding transcriptional regulatory protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5902-MONOMER,G185E-5902,possible segregation and condensation protein,CCI-CYTOSOL-GP
G185E-5119-MONOMER,G185E-5119,conserved hypothetical protein,
G185E-7693-MONOMER,G185E-7693,transcriptional regulatory protein WhiB-like WhiB3. Contains [4FE-4S] cluster.,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6917-MONOMER,G185E-6917,GCN5-related N-acetyltransferase,CCI-CYTOSOL-GP
G185E-6276-MONOMER,G185E-6276,precorrin-3 methylase,CCI-CYTOSOL-GP
G185E-5500-MONOMER,G185E-5500,conserved hypothetical protein,
G185E-8074-MONOMER,G185E-8074,possible aminotransferase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7292-MONOMER,G185E-7292,alpha (1->4) glucosyltransferase,CCI-CYTOSOL-GP
G185E-6656-MONOMER,G185E-6656,conserved hypothetical protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5872-MONOMER,G185E-5872,probable coiled-coil structural protein,CCI-CYTOSOL-GP
G185E-4751-MONOMER,G185E-4751,conserved hypothetical protein,CCI-CW-BAC-ACT-GP
G185E-7664-MONOMER,G185E-7664,PE-PGRS family protein PE_PGRS52,CCI-EXTRACELLULAR-GP
G185E-5132-MONOMER,G185E-5132,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-6246-MONOMER,G185E-6246,pyrazinamidase/nicotinamidase,CCI-CYTOSOL-GP
G185E-6930-MONOMER,G185E-6930,probable 1-deoxy-D-xylulose 5-phosphate synthase,CCI-CYTOSOL-GP
G185E-8041-MONOMER,G185E-8041,probable integrase (fragment),
G185E-5513-MONOMER,G185E-5513,,CCI-CYTOSOL-GP
G185E-6627-MONOMER,G185E-6627,"sulfate ABC transporter, membrane subunit CysW",CCI-PM-BAC-ACT-GP
G185E-7306-MONOMER,G185E-7306,probable NADP-dependent alcohol dehydrogenase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4721-MONOMER,G185E-4721,conserved hypothetical integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-5886-MONOMER,G185E-5886,inorganic polyphosphate/ATP-NAD kinase,CCI-CYTOSOL-GP
G185E-5103-MONOMER,G185E-5103,chorismate mutase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7677-MONOMER,G185E-7677,mycolyl-trehalose-6-phosphate phosphatase,CCI-CYTOSOL-GP
G185E-6901-MONOMER,G185E-6901,possible PhiRv2 prophage protein,
G185E-6260-MONOMER,G185E-6260,30S ribosomal protein S14,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G185E-5480-MONOMER,G185E-5480,probable ATP synthase B chain,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-8055-MONOMER,G185E-8055,possible two component sensor kinase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7272-MONOMER,G185E-7272,DNA ligase [NAD dependent],CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6640-MONOMER,G185E-6640,conserved protein,
G185E-5856-MONOMER,G185E-5856,probable cytochrome P450 139,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4734-MONOMER,G185E-4734,possible antitoxin,
G185E-7648-MONOMER,G185E-7648,trehalose 6-phosphate phosphatase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5116-MONOMER,G185E-5116,possible toxin,
G185E-6230-MONOMER,G185E-6230,two component sensor histidine kinase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6914-MONOMER,G185E-6914,probable transposase for insertion sequence element IS1081 (fragment),
G185E-8025-MONOMER,G185E-8025,conserved hypothetical protein,
G185E-5497-MONOMER,G185E-5497,possible adenylate cyclase,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6610-MONOMER,G185E-6610,salicylate&mdash;[aryl-carrier protein] ligase,CCI-CYTOSOL-GP
G185E-7287-MONOMER,G185E-7287,GCN5-related N-acetyltransferase,
G185E-4705-MONOMER,G185E-4705,Putative phosphoribosyl transferase Rv0571c,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5869-MONOMER,G185E-5869,possible acyl-CoA dehydrogenase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5086-MONOMER,G185E-5086,transmembrane serine/threonine-protein kinase D,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-7661-MONOMER,G185E-7661,possible antitoxin,
G185E-6881-MONOMER,G185E-6881,possible transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-6243-MONOMER,G185E-6243,probable sugar-transport integral membrane protein ABC transporter,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5463-MONOMER,G185E-5463,hypothetical protein,
G185E-8038-MONOMER,G185E-8038,conserved hypothetical protein,
G185E-7256-MONOMER,G185E-7256,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6624-MONOMER,G185E-6624,acid and phagosome regulated protein B,
G185E-5840-MONOMER,G185E-5840,"probable phenylalanyl-tRNA synthetase, beta chain",CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4718-MONOMER,G185E-4718,possible conserved exported protein,CCI-CYTOSOL-GP
G185E-4436-MONOMER,G185E-4436,conserved protein,CCI-CYTOSOL-GP
G185E-5099-MONOMER,G185E-5099,possible formamidopyrimidine-DNA glycosylase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7632-MONOMER,G185E-7632,probable bifunctional protein FolD: methylenetetrahydrofolate dehydrogenase + methenyltetrahydrofolate cyclohydrolase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6898-MONOMER,G185E-6898,possible PhiRv2 prophage protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6213-MONOMER,G185E-6213,"conserved hypothetical protein, probable transcription repressor.",CCI-CYTOSOL-GP
G185E-5477-MONOMER,G185E-5477,conserved hypothetical transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-8007-MONOMER,G185E-8007,possible fatty acid synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7269-MONOMER,G185E-7269,probable glutamyl-tRNA(GLN) amidotransferase (subunit A),CCI-CYTOSOL-GP
G185E-6594-MONOMER,G185E-6594,probable PHOH-like protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5853-MONOMER,G185E-5853,Pks17,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4688-MONOMER,G185E-4688,probable bifunctional menaquinone biosynthesis protein,CCI-PM-BAC-ACT-GP
G185E-7645-MONOMER,G185E-7645,conserved protein,CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G185E-5068-MONOMER,G185E-5068,possible lipid carrier protein or keto acyl-CoA thiolase,CCI-CYTOSOL-GP
G185E-6227-MONOMER,G185E-6227,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-6865-MONOMER,G185E-6865,possible transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-8022-MONOMER,G185E-8022,conserved protein,CCI-PM-BAC-ACT-GP
G185E-5447-MONOMER,G185E-5447,possible lipoprotein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6607-MONOMER,G185E-6607,polyketide synthetase MbtD,CCI-PM-BAC-ACT-GP
G185E-7238-MONOMER,G185E-7238,phosphoenolpyruvate guanylyltransferase,
G185E-4702-MONOMER,G185E-4702,possible cytochrome P450 135B1,CCI-CYTOSOL-GP
G185E-5824-MONOMER,G185E-5824,probable mannosyltransferase. Probable conserved transmembrane protein.,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5082-MONOMER,G185E-5082,probable short-chain type dehydrogenase/reductase,CCI-PM-BAC-ACT-GP
G185E-4420-MONOMER,G185E-4420,PE-PGRS family protein PE_PGRS5,CCI-EXTRACELLULAR-GP
G185E-6878-MONOMER,G185E-6878,PE-PGRS family protein PE_PGRS46,CCI-EXTRACELLULAR-GP
G185E-7616-MONOMER,G185E-7616,probable O-acetylhomoserine sulfhydrylase,CCI-CYTOSOL-GP
G185E-5460-MONOMER,G185E-5460,conserved protein,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6196-MONOMER,G185E-6196,metal sensor transcriptional regulator,
G185E-7253-MONOMER,G185E-7253,probable D-3-phosphoglycerate dehydrogenase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7991-MONOMER,G185E-7991,conserved protein,CCO-MEMBRANE
G185E-5837-MONOMER,G185E-5837,adenylate cyclase,CCI-PM-BAC-ACT-GP
G185E-6578-MONOMER,G185E-6578,PPE family protein PPE38,CCI-PM-BAC-ACT-GP
G185E-4433-MONOMER,G185E-4433,conserved protein,
G185E-4672-MONOMER,G185E-4672,probable dolichyl-phosphate sugar synthase,CCI-PM-BAC-ACT-GP
G185E-7629-MONOMER,G185E-7629,conserved hypothetical protein,
G185E-5052-MONOMER,G185E-5052,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-6210-MONOMER,G185E-6210,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6849-MONOMER,G185E-6849,possible pyridoxine biosynthesis protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-8004-MONOMER,G185E-8004,<i>N</i>-acetylmuramoyl-L-alanine amidase Rv3717,CCI-PERI-ACT-GP
G185E-5430-MONOMER,G185E-5430,"probable uracil DNA glycosylase,",
G185E-6591-MONOMER,G185E-6591,conserved hypothetical protein,
G185E-7222-MONOMER,G185E-7222,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-4685-MONOMER,G185E-4685,conserved protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5807-MONOMER,G185E-5807,conserved membrane protein,CCI-PM-BAC-ACT-GP
G185E-5065-MONOMER,G185E-5065,conserved protein,
G185E-4404-MONOMER,G185E-4404,possible S-adenosylmethionine-dependent methyltransferase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6862-MONOMER,G185E-6862,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-7599-MONOMER,G185E-7599,cyclic pyranopterin monophosphate synthase 3,CCI-CYTOSOL-GP
G185E-5444-MONOMER,G185E-5444,"ABC family efflux transporter, ATP-binding/membrane subunit",CCI-PM-BAC-ACT-GP
G185E-6180-MONOMER,G185E-6180,ribonucleoside-diphosphate reductase (beta chain),CCI-CYTOSOL-GP
G185E-7235-MONOMER,G185E-7235,possible conserved secreted protein,CCI-PM-BAC-ACT-GP
G185E-7975-MONOMER,G185E-7975,probable conserved membrane protein,CCI-CW-BAC-ACT-GP // CCO-MEMBRANE
G185E-5821-MONOMER,G185E-5821,hypothetical protein,CCI-CYTOSOL-GP
G185E-6561-MONOMER,G185E-6561,hypothetical protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4417-MONOMER,G185E-4417,malonyl-[acyl-carrier protein] <em>O</em>-methyltransferase,CCI-CYTOSOL-GP
G185E-4656-MONOMER,G185E-4656,"probable glutamate-1-semialdehyde 2,1-aminomutase",CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
