Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_1060-MONOMER	type I restriction-modification, M subunit		SYNPCC7942_1060
SYNPCC7942_1425-MONOMER	carboxysome shell protein CcmO		SYNPCC7942_1425
SYNPCC7942_0305-MONOMER	hypothetical protein		SYNPCC7942_0305
SYNPCC7942_1795-MONOMER	SsrA-binding protein	CCI-CYTOSOL-GN	SYNPCC7942_1795
SYNPCC7942_0670-MONOMER	aspartate carbamoyltransferase		SYNPCC7942_0670
SYNPCC7942_2425-MONOMER	chaperon-like protein for quinone binding in photosystem II		SYNPCC7942_2425
SYNPCC7942_1040-MONOMER	conserved hypothetical protein		SYNPCC7942_1040
SYNPCC7942_1409-MONOMER	Fe (III) ABC transporter substrate-binding protein		SYNPCC7942_1409
SYNPCC7942_0289-MONOMER	protein translocase SecA	CCI-THY-MEM-CYA-GN // CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN	SYNPCC7942_0289
SYNPCC7942_1779-MONOMER	DNA repair protein RecN		SYNPCC7942_1779
SYNPCC7942_0654-MONOMER	photosystem I assembly protein Ycf	CCI-THY-MEM-CYA-GN	SYNPCC7942_0654
SYNPCC7942_0651-MONOMER	replication restart DNA helicase		SYNPCC7942_0651
SYNPCC7942_2406-MONOMER	FAD dependent oxidoreductase		SYNPCC7942_2406
SYNPCC7942_1021-MONOMER	O-succinylbenzoic acid-CoA ligase		SYNPCC7942_1021
SYNPCC7942_1390-MONOMER	protein kinase C inhibitor		SYNPCC7942_1390
SYNPCC7942_0270-MONOMER	TPR repeat		SYNPCC7942_0270
SYNPCC7942_1760-MONOMER			SYNPCC7942_1760
SYNPCC7942_0638-MONOMER	lactoylglutathione lyase		SYNPCC7942_0638
SYNPCC7942_2390-MONOMER	5-oxoprolinase (ATP-hydrolyzing)		SYNPCC7942_2390
SYNPCC7942_1005-MONOMER	HAD-superfamily hydrolase subfamily IA, variant 3		SYNPCC7942_1005
SYNPCC7942_1377-MONOMER	metal dependent phosphohydrolase		SYNPCC7942_1377
SYNPCC7942_0254-MONOMER	DNA gyrase, A subunit	CCI-CYTOSOL-GN	SYNPCC7942_0254
SYNPCC7942_1744-MONOMER	1,4-dihydroxy-2-naphthoyl-CoA hydrolase		SYNPCC7942_1744
SYNPCC7942_0622-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_0622
SYNPCC7942_2374-MONOMER	Protein of unknown function UPF0004	CCI-CYTOSOL-GN	SYNPCC7942_2374
SYNPCC7942_0989-MONOMER	conserved hypothetical protein		SYNPCC7942_0989
SYNPCC7942_1361-MONOMER	conserved hypothetical protein		SYNPCC7942_1361
SYNPCC7942_0238-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0238
SYNPCC7942_1728-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1728
SYNPCC7942_0606-MONOMER	leucyl/phenylalanyl-tRNA--protein transferase	CCI-CYTOSOL-GN	SYNPCC7942_0606
SYNPCC7942_2096-MONOMER	diguanylate cyclase (GGDEF domain)		SYNPCC7942_2096
SYNPCC7942_2358-MONOMER	nitrilase-like		SYNPCC7942_2358
SYNPCC7942_0973-MONOMER	UDP-glucose 6-dehydrogenase		SYNPCC7942_0973
SYNPCC7942_1345-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit G	CCI-PM-BAC-NEG-GN	SYNPCC7942_1345
SYNPCC7942_0222-MONOMER	conserved hypothetical protein		SYNPCC7942_0222
SYNPCC7942_1712-MONOMER	conserved hypothetical protein		SYNPCC7942_1712
SYNPCC7942_0590-MONOMER	membrane protein-like	CCO-MEMBRANE	SYNPCC7942_0590
SYNPCC7942_2080-MONOMER	Fructose-6-phosphate phosphoketolase		SYNPCC7942_2080
SYNPCC7942_2342-MONOMER	PsaL	CCI-THY-MEM-CYA-GN	SYNPCC7942_2342
SYNPCC7942_0957-MONOMER	cob(I)alamin adenosyltransferase		SYNPCC7942_0957
SYNPCC7942_1329-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1329
SYNPCC7942_0206-MONOMER	nicotinic acid phosphoribosyltransferase		SYNPCC7942_0206
SYNPCC7942_1696-MONOMER	conserved hypothetical protein		SYNPCC7942_1696
SYNPCC7942_0574-MONOMER	conserved hypothetical protein		SYNPCC7942_0574
SYNPCC7942_2064-MONOMER	phenylalanyl-tRNA synthetase, alpha subunit	CCI-CYTOSOL-GN	SYNPCC7942_2064
SYNPCC7942_2326-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2326
SYNPCC7942_0941-MONOMER	ATPase		SYNPCC7942_0941
SYNPCC7942_1313-MONOMER	aspartyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_1313
SYNPCC7942_0190-MONOMER	cobalt-precorrin-6A synthase		SYNPCC7942_0190
SYNPCC7942_1680-MONOMER	sulfate transport system ATP-binding protein CysA	CCI-PM-BAC-NEG-GN	SYNPCC7942_1680
SYNPCC7942_0558-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0558
SYNPCC7942_2048-MONOMER	PsaB	CCI-THY-MEM-CYA-GN	SYNPCC7942_2048
SYNPCC7942_2310-MONOMER	L-2,4-diaminobutyrate decarboxylase		SYNPCC7942_2310
SYNPCC7942_0925-MONOMER	phosphoribosylamine--glycine ligase		SYNPCC7942_0925
SYNPCC7942_1297-MONOMER	Malate dehydrogenase (oxaloacetate decarboxylating)		SYNPCC7942_1297
SYNPCC7942_0174-MONOMER	Protein of unknown function UPF0011	CCI-CYTOSOL-GN	SYNPCC7942_0174
SYNPCC7942_1664-MONOMER	hypothetical protein		SYNPCC7942_1664
SYNPCC7942_0542-MONOMER	lipoic acid synthetase	CCI-CYTOSOL-GN	SYNPCC7942_0542
SYNPCC7942_2032-MONOMER	multidrug-efflux transporter quinolene resistance protein NorA	CCO-MEMBRANE	SYNPCC7942_2032
SYNPCC7942_2294-MONOMER	conserved hypothetical protein		SYNPCC7942_2294
SYNPCC7942_0909-MONOMER	HesB/YadR/YfhF		SYNPCC7942_0909
SYNPCC7942_B2663-MONOMER		CCI-CYTOSOL-GN	SYNPCC7942_B2663
SYNPCC7942_1281-MONOMER	conserved hypothetical protein		SYNPCC7942_1281
SYNPCC7942_0158-MONOMER	rhodanese		SYNPCC7942_0158
SYNPCC7942_1648-MONOMER	putative ferric uptake regulator, FUR family		SYNPCC7942_1648
SYNPCC7942_0526-MONOMER	ABC-type sugar transport systems permease components-like	CCI-PM-BAC-NEG-GN	SYNPCC7942_0526
SYNPCC7942_2016-MONOMER	PsbX	CCI-THY-MEM-CYA-GN	SYNPCC7942_2016
SYNPCC7942_2278-MONOMER	conserved hypothetical protein		SYNPCC7942_2278
SYNPCC7942_0893-MONOMER	photosystem II D1 protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_0893
SYNPCC7942_B2647-MONOMER	response regulator receiver domain protein (CheY-like)		SYNPCC7942_B2647
SYNPCC7942_1265-MONOMER	conserved hypothetical protein		SYNPCC7942_1265
SYNPCC7942_0142-MONOMER	protein-export membrane protein SecD	CCI-PM-BAC-NEG-GN	SYNPCC7942_0142
SYNPCC7942_1632-MONOMER	conserved hypothetical protein		SYNPCC7942_1632
SYNPCC7942_0510-MONOMER	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase		SYNPCC7942_0510
SYNPCC7942_2000-MONOMER	Penicillin-binding protein 1A		SYNPCC7942_2000
SYNPCC7942_2262-MONOMER	conserved hypothetical protein		SYNPCC7942_2262
SYNPCC7942_0877-MONOMER	Elongator protein 3/MiaB/NifB		SYNPCC7942_0877
SYNPCC7942_B2631-MONOMER	conserved hypothetical protein		SYNPCC7942_B2631
SYNPCC7942_1249-MONOMER	PsaJ	CCI-THY-MEM-CYA-GN	SYNPCC7942_1249
SYNPCC7942_0125-MONOMER	Imidazoleglycerol-phosphate dehydratase	CCI-CYTOSOL-GN	SYNPCC7942_0125
SYNPCC7942_1616-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1616
SYNPCC7942_0494-MONOMER	conserved hypothetical protein		SYNPCC7942_0494
SYNPCC7942_1984-MONOMER	phytoene synthase		SYNPCC7942_1984
SYNPCC7942_2246-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2246
SYNPCC7942_0861-MONOMER	monoglucosyldiacylglycerol epimerase		SYNPCC7942_0861
SYNPCC7942_B2615-MONOMER	putative nucleotidyltransferase		SYNPCC7942_B2615
SYNPCC7942_1233-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1233
SYNPCC7942_0109-MONOMER	DNA-binding ferritin-like protein (oxidative damage protectant)		SYNPCC7942_0109
SYNPCC7942_1600-MONOMER	5',5'''-P-1,P-4-tetraphosphate phosphorylase II-like		SYNPCC7942_1600
SYNPCC7942_0478-MONOMER	Thylakoidal processing peptidase	CCO-MEMBRANE	SYNPCC7942_0478
SYNPCC7942_1968-MONOMER	conserved hypothetical protein		SYNPCC7942_1968
SYNPCC7942_2230-MONOMER	50S ribosomal subunit protein L23	CCI-RIBOSOME-GN	SYNPCC7942_2230
SYNPCC7942_0844-MONOMER	Phosphoesterase PHP-like		SYNPCC7942_0844
SYNPCC7942_2598-MONOMER	conserved hypothetical protein		SYNPCC7942_2598
SYNPCC7942_1217-MONOMER	KaiB monomer	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN	SYNPCC7942_1217
SYNPCC7942_0093-MONOMER	Thymidylate kinase		SYNPCC7942_0093
SYNPCC7942_1584-MONOMER	conserved hypothetical protein		SYNPCC7942_1584
SYNPCC7942_0462-MONOMER	conserved hypothetical protein		SYNPCC7942_0462
SYNPCC7942_1952-MONOMER	conserved hypothetical protein		SYNPCC7942_1952
SYNPCC7942_2214-MONOMER	SecY protein	CCI-THY-MEM-CYA-GN // CCI-PM-BAC-NEG-GN	SYNPCC7942_2214
SYNPCC7942_0827-MONOMER	cobalamin synthesis protein cobW-like		SYNPCC7942_0827
SYNPCC7942_2582-MONOMER	myo-inositol-1(or 4)-monophosphatase		SYNPCC7942_2582
SYNPCC7942_1201-MONOMER	probable glycosyltransferase		SYNPCC7942_1201
SYNPCC7942_0077-MONOMER	transcriptional regulator, XRE family		SYNPCC7942_0077
SYNPCC7942_1568-MONOMER	conserved hypothetical protein		SYNPCC7942_1568
SYNPCC7942_0446-MONOMER	30S ribosomal subunit protein S14	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_0446
SYNPCC7942_1936-MONOMER	conserved hypothetical protein		SYNPCC7942_1936
SYNPCC7942_2198-MONOMER	conserved hypothetical protein		SYNPCC7942_2198
SYNPCC7942_0811-MONOMER	Na+/H+ antiporter	CCO-MEMBRANE	SYNPCC7942_0811
SYNPCC7942_2566-MONOMER	peptidyl-prolyl cis-trans isomerase	CCI-THY-MEM-CYA-GN	SYNPCC7942_2566
SYNPCC7942_1185-MONOMER	conserved hypothetical protein		SYNPCC7942_1185
SYNPCC7942_0061-MONOMER	CDP-glucose 4,6-dehydratase		SYNPCC7942_0061
SYNPCC7942_1552-MONOMER	ketol-acid reductoisomerase		SYNPCC7942_1552
SYNPCC7942_0430-MONOMER	deoxyxylulose-5-phosphate synthase		SYNPCC7942_0430
SYNPCC7942_1920-MONOMER	leucyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_1920
SYNPCC7942_2182-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2182
SYNPCC7942_0795-MONOMER	conserved hypothetical protein		SYNPCC7942_0795
SYNPCC7942_2550-MONOMER	conserved hypothetical protein		SYNPCC7942_2550
SYNPCC7942_1169-MONOMER	oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	CCI-PERI-BAC-GN // CCI-PM-BAC-NEG-GN	SYNPCC7942_1169
SYNPCC7942_0045-MONOMER	TPR repeat		SYNPCC7942_0045
SYNPCC7942_1535-MONOMER	RubisCO chaperonin RbcX monomer	CCI-CYTOSOL-GN	SYNPCC7942_1535
SYNPCC7942_0414-MONOMER	conserved hypothetical protein		SYNPCC7942_0414
SYNPCC7942_1904-MONOMER	hemolysin secretion protein-like	CCI-PM-BAC-NEG-GN	SYNPCC7942_1904
SYNPCC7942_2166-MONOMER	conserved hypothetical protein		SYNPCC7942_2166
SYNPCC7942_0779-MONOMER	metal dependent phosphohydrolase	CCO-MEMBRANE	SYNPCC7942_0779
SYNPCC7942_2534-MONOMER	diguanylate cyclase (GGDEF domain)		SYNPCC7942_2534
SYNPCC7942_1153-MONOMER	conserved hypothetical protein		SYNPCC7942_1153
SYNPCC7942_0029-MONOMER	malonyl-[acyl-carrier protein] <em>O</em>-methyltransferase		SYNPCC7942_0029
SYNPCC7942_1519-MONOMER	histidinol dehydrogenase		SYNPCC7942_1519
SYNPCC7942_0398-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0398
SYNPCC7942_1888-MONOMER	conserved hypothetical protein		SYNPCC7942_1888
SYNPCC7942_2150-MONOMER	probable hydrolase		SYNPCC7942_2150
SYNPCC7942_0763-MONOMER	transcriptional regulator, XRE family	CCO-MEMBRANE	SYNPCC7942_0763
SYNPCC7942_2518-MONOMER	glycogen synthase, ADP-glucose type		SYNPCC7942_2518
SYNPCC7942_1137-MONOMER	conserved hypothetical protein YCF23		SYNPCC7942_1137
SYNPCC7942_0013-MONOMER	conserved hypothetical protein		SYNPCC7942_0013
SYNPCC7942_1503-MONOMER	Photosystem II S4 domain protein		SYNPCC7942_1503
SYNPCC7942_0382-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0382
SYNPCC7942_1872-MONOMER	two-component sensor histidine kinase	CCO-MEMBRANE	SYNPCC7942_1872
SYNPCC7942_2134-MONOMER	N-acetylmuramoyl-L-alanine amidase		SYNPCC7942_2134
SYNPCC7942_0747-MONOMER	conserved hypothetical protein		SYNPCC7942_0747
SYNPCC7942_2502-MONOMER	conserved hypothetical protein		SYNPCC7942_2502
SYNPCC7942_1121-MONOMER	serine/threonine protein kinase		SYNPCC7942_1121
MONOMER490-6	DNA polymerase &gamma; subunit		SYNPCC7942_0912
SYNPCC7942_1486-MONOMER	Protein of unknown function DUF37	CCI-PM-BAC-NEG-GN	SYNPCC7942_1486
SYNPCC7942_0366-MONOMER	putative sulfate transporter	CCO-MEMBRANE	SYNPCC7942_0366
SYNPCC7942_1856-MONOMER	putative cytidine and deoxycytidylate deaminase		SYNPCC7942_1856
SYNPCC7942_2118-MONOMER	conserved hypothetical protein		SYNPCC7942_2118
SYNPCC7942_0731-MONOMER	putative phage terminase large subunit		SYNPCC7942_0731
SYNPCC7942_2486-MONOMER	conserved hypothetical protein		SYNPCC7942_2486
SYNPCC7942_1105-MONOMER	MRP protein-like		SYNPCC7942_1105
HTX97_RS00005-MONOMER	HK97 family phage prohead protease		HTX97_RS00005
SYNPCC7942_1470-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1470
SYNPCC7942_0350-MONOMER	ATPase		SYNPCC7942_0350
SYNPCC7942_1840-MONOMER	conserved hypothetical protein		SYNPCC7942_1840
SYNPCC7942_0715-MONOMER	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_0715
SYNPCC7942_2470-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2470
SYNPCC7942_1089-MONOMER	ClpB-1 monomer	CCI-CYTOSOL-GN	SYNPCC7942_1089
SYNPCC7942_1454-MONOMER	fatty acid/phospholipid synthesis protein PlsX	CCI-CYTOSOL-GN	SYNPCC7942_1454
SYNPCC7942_0334-MONOMER	ATP synthase Fo, b subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_0334
SYNPCC7942_1824-MONOMER	CBS-domain protein		SYNPCC7942_1824
SYNPCC7942_0699-MONOMER	PsbM	CCI-CYTOSOL-GN // CCI-THY-MEM-CYA-GN	SYNPCC7942_0699
SYNPCC7942_2454-MONOMER	adenine phosphoribosyltransferase	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN	SYNPCC7942_2454
SYNPCC7942_1073-MONOMER	ribonuclease PH		SYNPCC7942_1073
SYNPCC7942_1438-MONOMER	anti-sigma regulatory factor NblC		SYNPCC7942_1438
SYNPCC7942_0318-MONOMER	conserved hypothetical protein		SYNPCC7942_0318
SYNPCC7942_1808-MONOMER	Type III pantothenate kinase	CCI-CYTOSOL-GN	SYNPCC7942_1808
SYNPCC7942_0683-MONOMER	potassium channel protein	CCO-MEMBRANE	SYNPCC7942_0683
SYNPCC7942_2438-MONOMER	putative CheA signal transduction histidine kinases, no good domain identification	CCO-MEMBRANE	SYNPCC7942_2438
SYNPCC7942_1056-MONOMER	transcriptional regulator, XRE family	CCO-MEMBRANE	SYNPCC7942_1056
SYNPCC7942_1422-MONOMER	carboxysome shell protein CcmL		SYNPCC7942_1422
SYNPCC7942_0302-MONOMER	Phospholipase D/Transphosphatidylase		SYNPCC7942_0302
SYNPCC7942_1792-MONOMER			SYNPCC7942_1792
SYNPCC7942_0667-MONOMER	conserved hypothetical protein		SYNPCC7942_0667
SYNPCC7942_2422-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2422
SYNPCC7942_1037-MONOMER	arginine decarboxylase		SYNPCC7942_1037
SYNPCC7942_1406-MONOMER	Fe (III) ABC transporter ATP-binding protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1406
SYNPCC7942_0286-MONOMER	conserved hypothetical protein		SYNPCC7942_0286
SYNPCC7942_1776-MONOMER	hypothetical protein		SYNPCC7942_1776
SYNPCC7942_2403-MONOMER	conserved hypothetical protein		SYNPCC7942_2403
SYNPCC7942_1018-MONOMER	conserved hypothetical protein		SYNPCC7942_1018
SYNPCC7942_1387-MONOMER	conserved hypothetical protein		SYNPCC7942_1387
SYNPCC7942_0267-MONOMER	Ribosomal RNA small subunit methyltransferase G	CCI-CYTOSOL-GN	SYNPCC7942_0267
SYNPCC7942_1757-MONOMER	hypothetical protein		SYNPCC7942_1757
SYNPCC7942_0635-MONOMER	NusG antitermination factor		SYNPCC7942_0635
SYNPCC7942_2387-MONOMER	conserved hypothetical protein		SYNPCC7942_2387
SYNPCC7942_1002-MONOMER	PsaD	CCI-THY-MEM-CYA-GN	SYNPCC7942_1002
SYNPCC7942_1374-MONOMER	tRNA pseudouridine synthase D		SYNPCC7942_1374
SYNPCC7942_0251-MONOMER	DNA polymerase III, epsilon subunit		SYNPCC7942_0251
SYNPCC7942_1741-MONOMER	UDP-N-acetylmuramate--alanine ligase	CCI-CYTOSOL-GN	SYNPCC7942_1741
SYNPCC7942_0619-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0619
SYNPCC7942_2371-MONOMER	acyl-(acyl-carrier-protein)--UDP-N- acetylglucosamine O-acyltransferase		SYNPCC7942_2371
SYNPCC7942_0986-MONOMER	digalactosyldiacylglycerol synthase		SYNPCC7942_0986
SYNPCC7942_1358-MONOMER	conserved hypothetical protein		SYNPCC7942_1358
SYNPCC7942_0235-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein	CCO-MEMBRANE	SYNPCC7942_0235
SYNPCC7942_1725-MONOMER	regulatory protein GntR, HTH		SYNPCC7942_1725
SYNPCC7942_0603-MONOMER	glucose-1-phosphate adenylyltransferase		SYNPCC7942_0603
SYNPCC7942_2093-MONOMER	CO<sub>2</sub> hydration protein CupA		SYNPCC7942_2093
SYNPCC7942_2355-MONOMER	conserved hypothetical protein		SYNPCC7942_2355
SYNPCC7942_0970-MONOMER	15-<i>cis</i> phytoene desaturase	CCI-PM-BAC-NEG-GN	SYNPCC7942_0970
SYNPCC7942_1342-MONOMER	GDP-mannose 4,6-dehydratase		SYNPCC7942_1342
SYNPCC7942_0219-MONOMER	conserved hypothetical protein		SYNPCC7942_0219
SYNPCC7942_1709-MONOMER	Small GTP-binding protein domain	CCO-MEMBRANE	SYNPCC7942_1709
SYNPCC7942_0587-MONOMER	valyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_0587
SYNPCC7942_2077-MONOMER	conserved hypothetical protein		SYNPCC7942_2077
SYNPCC7942_2339-MONOMER	D,D-heptose 1,7-bisphosphate phosphatase		SYNPCC7942_2339
SYNPCC7942_0954-MONOMER	glycine cleavage T-protein-like		SYNPCC7942_0954
SYNPCC7942_1326-MONOMER	transcription-repair coupling factor	CCI-CYTOSOL-GN	SYNPCC7942_1326
SYNPCC7942_0203-MONOMER	RibD Riboflavin-specific deaminase		SYNPCC7942_0203
SYNPCC7942_1693-MONOMER	cell division-related response regulator	CCO-MEMBRANE	SYNPCC7942_1693
SYNPCC7942_0571-MONOMER	sugar (Glycoside-Pentoside-Hexuronide) transporter	CCI-PM-BAC-NEG-GN	SYNPCC7942_0571
SYNPCC7942_2061-MONOMER	P<sub>II</sub>-interacting protein X		SYNPCC7942_2061
SYNPCC7942_2323-MONOMER	Glutaredoxin, GrxC	CCI-CYTOSOL-GN	SYNPCC7942_2323
SYNPCC7942_0938-MONOMER	putative transcriptional regulator, ArsR family		SYNPCC7942_0938
SYNPCC7942_1310-MONOMER	CmpR transcriptional regulator	CCI-CYTOSOL-GN	SYNPCC7942_1310
SYNPCC7942_0187-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0187
SYNPCC7942_1677-MONOMER	conserved hypothetical protein		SYNPCC7942_1677
SYNPCC7942_0555-MONOMER	zinc metalloprotease		SYNPCC7942_0555
SYNPCC7942_2045-MONOMER	Chromosome segregation protein SMC	CCI-CYTOSOL-GN	SYNPCC7942_2045
SYNPCC7942_2307-MONOMER	conserved hypothetical protein		SYNPCC7942_2307
SYNPCC7942_0922-MONOMER	Glutamate--tRNA ligase		SYNPCC7942_0922
SYNPCC7942_1294-MONOMER	serine/threonine protein kinase		SYNPCC7942_1294
SYNPCC7942_0171-MONOMER	cysteine synthase		SYNPCC7942_0171
SYNPCC7942_1661-MONOMER	conserved hypothetical protein		SYNPCC7942_1661
SYNPCC7942_0539-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0539
SYNPCC7942_2029-MONOMER	Glucose-6-phosphate isomerase	CCI-CYTOSOL-GN	SYNPCC7942_2029
SYNPCC7942_2291-MONOMER	KpsF/GutQ family protein		SYNPCC7942_2291
SYNPCC7942_0906-MONOMER	hypothetical protein		SYNPCC7942_0906
SYNPCC7942_B2660-MONOMER	hypothetical protein		SYNPCC7942_B2660
SYNPCC7942_1278-MONOMER	50S ribosomal subunit protein L35	CCI-RIBOSOME-GN	SYNPCC7942_1278
SYNPCC7942_0155-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0155
SYNPCC7942_1645-MONOMER	Ribonuclease III	CCI-CYTOSOL-GN	SYNPCC7942_1645
SYNPCC7942_0523-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0523
