Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
G12WB-1979-MONOMER,3-phosphoshikimate 1-carboxyvinyltransferase,G12WB-1979,CCI-CYTOSOL-GP
G12WB-2322-MONOMER,L-lactate dehydrogenase,G12WB-2322,CCI-CYTOSOL-GP
G12WB-1036-MONOMER,hypothetical protein,G12WB-1036,
G12WB-3863-MONOMER,stage 0 sporulation protein J,G12WB-3863,
G12WB-684-MONOMER,membrane protein,G12WB-684,CCI-PM-BAC-POS-GP
G12WB-266-MONOMER,hypothetical protein,G12WB-266,
G12WB-2995-MONOMER,aminobenzoyl-glutamate transport protein,G12WB-2995,CCI-PM-BAC-POS-GP
G12WB-3329-MONOMER,ribonuclease R,G12WB-3329,CCI-CYTOSOL-GP
G12WB-1603-MONOMER,"ABC transporter, ATP-binding protein",G12WB-1603,
G12WB-3505-MONOMER,cell wall hydrolase,G12WB-3505,
G12WB-1962-MONOMER,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,G12WB-1962,
G12WB-2308-MONOMER,hypothetical protein,G12WB-2308,CCI-PM-BAC-POS-GP
G12WB-1021-MONOMER,hypothetical protein,G12WB-1021,
G12WB-3849-MONOMER,50S ribosomal protein L9,G12WB-3849,CCI-RIBOSOME-GP
G12WB-668-MONOMER,sugar isomerase / endonuclease,G12WB-668,
G12WB-2644-MONOMER,PTS operon transcription antiterminator,G12WB-2644,
G12WB-2980-MONOMER,amino acid racemase,G12WB-2980,
G12WB-3314-MONOMER,hypothetical protein,G12WB-3314,
G12WB-159-MONOMER,energy-coupling factor transporter ATP-binding protein 2,G12WB-159,CCI-PM-BAC-POS-GP
G12WB-3490-MONOMER,hypothetical protein,G12WB-3490,
G12WB-1946-MONOMER,tellurium resistance protein,G12WB-1946,
G12WB-2293-MONOMER,hypothetical protein,G12WB-2293,
G12WB-2073-MONOMER,LexA transcriptional regulator,G12WB-2073,
G12WB-1007-MONOMER,DNA polymerase IV,G12WB-1007,CCI-CYTOSOL-GP
G12WB-2807-MONOMER,peptidoglycan DD-transpeptidase,G12WB-2807,CCI-PM-BAC-POS-GP
G12WB-3830-MONOMER,dihydroorotase,G12WB-3830,
G12WB-1278-MONOMER,peptidoglycan DD-transpeptidase,G12WB-1278,CCI-PM-BAC-POS-GP
G12WB-652-MONOMER,chemotaxis protein CheW,G12WB-652,
G12WB-1360-MONOMER,peptidoglycan DD-transpeptidase,G12WB-1360,CCI-PM-BAC-POS-GP
G12WB-263-MONOMER,two-component response regulator,G12WB-263,
G12WB-1346-MONOMER,thiamine diphosphokinase,G12WB-1346,CCI-PM-BAC-POS-GP
G12WB-2966-MONOMER,Holliday junction ATP-dependent DNA helicase RuvA,G12WB-2966,
G12WB-993-MONOMER,glycogen phosphorylase,G12WB-993,
G12WB-330-MONOMER,hypothetical protein,G12WB-330,
G12WB-1575-MONOMER,hypothetical protein,G12WB-1575,CCI-PM-BAC-POS-GP
G12WB-3476-MONOMER,DNA ligase,G12WB-3476,
G12WB-1930-MONOMER,two-component sensor histidine kinase WalK,G12WB-1930,CCI-PM-BAC-POS-GP
G12WB-2279-MONOMER,putative malate transporter,G12WB-2279,CCI-PM-BAC-POS-GP
G12WB-3816-MONOMER,"fructose-mannitol family PTS, enzyme IIB component",G12WB-3816,
G12WB-636-MONOMER,putative c-di-GMP regulatory protein,G12WB-636,
G12WB-2615-MONOMER,chaperone protein DnaJ,G12WB-2615,CCI-CYTOSOL-GP
G12WB-1331-MONOMER,hypothetical protein,G12WB-1331,
G12WB-2951-MONOMER,protein translocase subunit SecA2,G12WB-2951,CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
G12WB-979-MONOMER,"putative molybdate ABC transporter, ATP-binding subunit",G12WB-979,
G12WB-3285-MONOMER,ArsR family transcriptional regulator,G12WB-3285,
G12WB-1560-MONOMER,diguanylate kinase signaling protein,G12WB-1560,
G12WB-3461-MONOMER,type IV pilin PilA,G12WB-3461,CCI-PM-BAC-POS-GP
G12WB-1916-MONOMER,CoA enzyme activase,G12WB-1916,
G12WB-2264-MONOMER,DeoR family transcriptional regulator,G12WB-2264,
G12WB-3801-MONOMER,MerR family transcriptional regulator,G12WB-3801,
G12WB-619-MONOMER,conjugative transposon protein,G12WB-619,
G12WB-260-MONOMER,membrane protein,G12WB-260,CCI-PM-BAC-POS-GP
G12WB-1317-MONOMER,sigma-54 dependent transcriptional regulator,G12WB-1317,
G12WB-2937-MONOMER,glycosyl transferase family protein,G12WB-2937,
G12WB-963-MONOMER,"putative oligopeptide ABC transporter, membrane subunit",G12WB-963,CCI-PM-BAC-POS-GP
G12WB-3270-MONOMER,membrane protein,G12WB-3270,CCI-PM-BAC-POS-GP
G12WB-1546-MONOMER,D-alanine--D-alanine ligase,G12WB-1546,CCI-CYTOSOL-GP
G12WB-3447-MONOMER,PTS operon transcription antiterminator,G12WB-3447,CCI-PM-BAC-POS-GP
G12WB-1901-MONOMER,HTH-type transcriptional regulator,G12WB-1901,
G12WB-225-MONOMER,thiosulfate sulfurtransferase,G12WB-225,
G12WB-3787-MONOMER,CheY family two-component response regulator,G12WB-3787,
G12WB-603-MONOMER,"putative ribitol-specific PTS, enzyme IIA component",G12WB-603,CCI-PM-BAC-POS-GP
G12WB-2585-MONOMER,glycine--tRNA ligase subunit alpha,G12WB-2585,CCI-CYTOSOL-GP
G12WB-1302-MONOMER,electron transfer flavoprotein subunit alpha,G12WB-1302,
G12WB-2922-MONOMER,lipoprotein,G12WB-2922,
G12WB-949-MONOMER,membrane protein,G12WB-949,CCI-PM-BAC-POS-GP
G12WB-3256-MONOMER,hypothetical protein,G12WB-3256,
G12WB-1531-MONOMER,NAD(P)-binding oxidoreductase,G12WB-1531,
G12WB-3432-MONOMER,two-component response regulator,G12WB-3432,
G12WB-1886-MONOMER,two-component sensor histidine kinase,G12WB-1886,CCI-PM-BAC-POS-GP
G12WB-2235-MONOMER,D-hydantoinase,G12WB-2235,CCI-CYTOSOL-GP
G12WB-3772-MONOMER,"ABC transporter, ATP-binding protein",G12WB-3772,
G12WB-588-MONOMER,hypothetical protein,G12WB-588,
G12WB-2570-MONOMER,AraC family transcriptional regulator,G12WB-2570,
G12WB-1288-MONOMER,radical SAM protein,G12WB-1288,
G12WB-2908-MONOMER,autoinducer prepeptide,G12WB-2908,
G12WB-934-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-934,CCI-PM-BAC-POS-GP
G12WB-3241-MONOMER,"putative &beta;-glycoside-specific PTS, enzyme IIA component",G12WB-3241,
G12WB-1517-MONOMER,transcriptional regulator,G12WB-1517,
G12WB-3418-MONOMER,dehydrogenase,G12WB-3418,
G12WB-1870-MONOMER,hypothetical protein,G12WB-1870,
G12WB-2220-MONOMER,molybdopterin cofactor biosynthesis protein,G12WB-2220,
G12WB-3758-MONOMER,hypothetical protein,G12WB-3758,
G12WB-572-MONOMER,"ABC transporter, membrane protein",G12WB-572,CCI-PM-BAC-POS-GP
G12WB-2556-MONOMER,MarR family transcriptional regulator,G12WB-2556,
G12WB-1272-MONOMER,electron transport complex protein RnfB,G12WB-1272,CCI-PM-BAC-POS-GP
CPLX12WB-91,putative molybdate ABC transporter,G12WB-979 // G12WB-978 // G12WB-977,
G12WB-2893-MONOMER,cell wall protein 14,G12WB-2893,
CPLX12WB-76,acetoin dehydrogenase,G12WB-91 // G12WB-90 // G12WB-89 // G12WB-88,
G12WB-92-MONOMER,PTS operon transcription antiterminator,G12WB-92,CCI-PM-BAC-POS-GP
CPLX12WB-60,2-hydroxyisocaproyl-CoA dehydratase activator,G12WB-502,
G12WB-3227-MONOMER,transcriptional regulator,G12WB-3227,
CPLX12WB-44,fructose-mannitol family PTS enzyme II,G12WB-311 // G12WB-310 // G12WB-309,
G12WB-1502-MONOMER,hypothetical protein,G12WB-1502,
CPLX12WB-3,galactitol family PTS enzyme II,G12WB-2477 // G12WB-2478 // G12WB-2479,
G12WB-3403-MONOMER,membrane protein,G12WB-3403,CCI-PM-BAC-POS-GP
CPLX12WB-15,4-hydroxyphenylacetate decarboxylase,G12WB-257 // G12WB-258,
G12WB-1854-MONOMER,hypothetical protein,G12WB-1854,
CPLX12WB-88,putative ribose ABC transporter,G12WB-408 // G12WB-407 // G12WB-406,
G12WB-2206-MONOMER,hypothetical protein,G12WB-2206,
CPLX12WB-73,D-proline reductase complex,G12WB-3408 // G12WB-3410,
G12WB-3743-MONOMER,peptidase,G12WB-3743,
CPLX12WB-57,phosphate ABC transporter,G12WB-3431 // G12WB-3430 // G12WB-3429 // G12WB-3435,
G12WB-556-MONOMER,D-ornithine aminomutase S component,G12WB-556,
CPLX12WB-41,K<sup>+</sup>-transporting P-type ATPase,G12WB-1729 // G12WB-1730 // G12WB-1731,
G12WB-2541-MONOMER,beta-lactams repressor,G12WB-2541,
CPLX12WB-27,V-type ATP synthase,G12WB-3118 // G12WB-3119 // G12WB-3120 // G12WB-3121 // G12WB-3122 // G12WB-3123 // G12WB-3124 // G12WB-3125,
G12WB-1258-MONOMER,DNA polymerase I,G12WB-1258,
CPLX12WB-12,bifunctional carbon monoxide dehydrogenase/synthase complex,G12WB-836 // G12WB-837,
G12WB-2879-MONOMER,two-component response regulator,G12WB-2879,
CPLX12WB-85,putative &beta;-glycoside-specific PTS enzyme II,G12WB-3243 // G12WB-3242 // G12WB-3241,
G12WB-905-MONOMER,NH3-dependent NAD(+) synthetase,G12WB-905,CCI-CYTOSOL-GP
CPLX12WB-7,glycine--tRNA ligase,G12WB-2584 // G12WB-2585,
G12WB-3212-MONOMER,membrane protein,G12WB-3212,CCI-PM-BAC-POS-GP
CPLX12WB-53,putative xyloside-specific PTS enzyme II,G12WB-3231 // G12WB-3230 // G12WB-3229 // G12WB-3228,
G12WB-1488-MONOMER,phosphomethylpyrimidine kinase,G12WB-1488,
CPLX12WB-39,xanthine dehydrogenase,G12WB-2251 // G12WB-2252 // G12WB-2253,
G12WB-3389-MONOMER,L-serine dehydratase,G12WB-3389,
CPLX12WB-24,3-isopropylmalate dehydratase,G12WB-1105 // G12WB-1106,
G12WB-1838-MONOMER,"putative transporter, alanine:cation symporter family",G12WB-1838,CCI-PM-BAC-POS-GP
CPLX12WB-105,putative cobalamin ABC transporter,G12WB-3164 // G12WB-3163 // G12WB-3162,
G12WB-2192-MONOMER,hypothetical protein,G12WB-2192,CCI-PM-BAC-POS-GP
CPLX12WB-99,putative iron-siderophore ABC transporter,G12WB-1789 // G12WB-1788 // G12WB-1787 // G12WB-1786,
G12WB-3726-MONOMER,hypothetical protein,G12WB-3726,
CPLX12WB-82,putative maltose-specific PTS enzyme II,G12WB-971 // G12WB-970 // G12WB-969,
G12WB-540-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-540,CCI-PM-BAC-POS-GP
CPLX12WB-67,,G12WB-1770,
G12WB-2527-MONOMER,NUDIX family hydrolase,G12WB-2527,
CPLX12WB-50,glucose-glucoside family PTS enzyme II,G12WB-3192 // G12WB-3189,
G12WB-1242-MONOMER,conjugative transfer protein,G12WB-1242,CCI-PM-BAC-POS-GP
CPLX12WB-36,imidazole glycerol phosphate synthase,G12WB-1690 // G12WB-1692,
G12WB-2861-MONOMER,shikimate 5-dehydrogenase,G12WB-2861,
CPLX12WB-21,ethanolamine ammonia lyase,G12WB-2057 // G12WB-2058,
G12WB-890-MONOMER,amidohydrolase,G12WB-890,
CPLX12WB-102,molybdate family ABC transporter,G12WB-2465 // G12WB-2464 // G12WB-2463,
G12WB-3198-MONOMER,"putative transporter, major facilitator superfamily",G12WB-3198,CCI-PM-BAC-POS-GP
CPLX12WB-95,sulfonate family ABC transporter,G12WB-1621 // G12WB-1620 // G12WB-1619,
G12WB-1473-MONOMER,6-phospho-beta-glucosidase,G12WB-1473,
CPLX12WB-8,phenylalanine--tRNA ligase,G12WB-809 // G12WB-810,
G12WB-3374-MONOMER,MarR family transcriptional regulator,G12WB-3374,
CPLX12WB-64,putative oligopeptide ABC transporter,G12WB-966 // G12WB-964 // G12WB-963 // G12WB-965,
G12WB-1822-MONOMER,FMN-binding protein,G12WB-1822,CCI-PM-BAC-POS-GP
CPLX12WB-48,putative 2-<i>O</i>-&alpha;-mannosyl-D-glycerate specific PTS enzyme II,G12WB-2724 // G12WB-2723 // G12WB-2722,
G12WB-2178-MONOMER,ornithine carbamoyltransferase,G12WB-2178,CCI-CYTOSOL-GP
CPLX12WB-33,F<sub>o</sub>F<sub>1</sub> ATP synthase,G12WB-3647 // G12WB-3648 // G12WB-3649 // G12WB-3650 // G12WB-3651 // G12WB-3652 // G12WB-3653 // G12WB-3654,
G12WB-3711-MONOMER,"iron family ABC transporter, ATP-binding protein",G12WB-3711,CCI-PM-BAC-POS-GP
CPLX12WB-19,ferredoxin/flavodoxin oxidoreductase,G12WB-2351 // G12WB-2352 // G12WB-2353,
G12WB-524-MONOMER,conjugative transposon protein,G12WB-524,CCI-PM-BAC-POS-GP
CPLX12WB-10,carbon-phosphorus lyase complex,G12WB-3716 // G12WB-3717,
G12WB-2512-MONOMER,"nitrate/sulfonate/taurine ABC transporter, ATP-binding protein",G12WB-2512,
CPLX12WB-92,sugar-family ABC transporter,G12WB-983 // G12WB-982 // G12WB-981,
G12WB-1228-MONOMER,conjugative transposon protein,G12WB-1228,
CPLX12WB-77,energy-coupling factor transporter core complex,G12WB-160 // G12WB-159 // G12WB-158,
G12WB-2847-MONOMER,hypothetical protein,G12WB-2847,CCI-PM-BAC-POS-GP
CPLX12WB-61,(R)-2-hydroxyisocaproyl-CoA dehydratase,G12WB-504 // G12WB-503,
G12WB-875-MONOMER,sorbitol operon activator protein,G12WB-875,CCI-PM-BAC-POS-GP
CPLX12WB-45,fructose-mannitol family PTS enzyme II,G12WB-2643 // G12WB-2642 // G12WB-2641,
G12WB-3183-MONOMER,putative transporter,G12WB-3183,CCI-PM-BAC-POS-GP
CPLX12WB-30,glycine reductase complex component B,G12WB-2502 // G12WB-2504,
G12WB-1459-MONOMER,DNA FtsK/SpoIIIE translocase,G12WB-1459,CCI-PM-BAC-POS-GP
CPLX12WB-16,para-aminobenzoate/anthranilate synthase glutamine amidotransferase,G12WB-1582 // G12WB-1583,
G12WB-1806-MONOMER,O-acetylserine (thiol)-lyase,G12WB-1806,
CPLX12WB-9,excinuclease ABC,G12WB-3584 // G12WB-3585 // G12WB-3586,
G12WB-2163-MONOMER,hypothetical protein,G12WB-2163,
CPLX12WB-74,,G12WB-3660,
G12WB-3697-MONOMER,regulator required for spore cortex synthesis,G12WB-3697,
CPLX12WB-59,2-hydroxyisocaproate CoA transferase,G12WB-501,
G12WB-2498-MONOMER,membrane protein,G12WB-2498,CCI-PM-BAC-POS-GP
CPLX12WB-42,dipicolinate synthase,G12WB-3133 // G12WB-3134,
G12WB-1213-MONOMER,fragment of two-component sensor histidine kinase (N-terminal region),G12WB-1213,
CPLX12WB-28,iron-only hydrogenase,G12WB-3579 // G12WB-3580 // G12WB-3581,
G12WB-2832-MONOMER,sporulation protein,G12WB-2832,
CPLX12WB-13,D-alanine--poly(phosphoribitol) ligase,G12WB-3011 // G12WB-3013,
G12WB-860-MONOMER,diguanylate kinase signaling protein,G12WB-860,CCI-PM-BAC-POS-GP
CPLX12WB-86,"lactose-<i>N,N'</i>-diacetylchitobiose-&beta;-glucoside family PTS enzyme II",G12WB-3624 // G12WB-3623 // G12WB-3622,
G12WB-3169-MONOMER,putative (2R)-sulfolactate transporter,G12WB-3169,CCI-PM-BAC-POS-GP
CPLX12WB-70,glycine reductase,G12WB-2503 // G12WB-2504 // G12WB-2502 // G12WB-2501 // G12WB-2500,
G12WB-1444-MONOMER,ribosomal protein L7Ae/L30e/S12e/Gadd45,G12WB-1444,CCI-RIBOSOME-GP
CPLX12WB-54,glucose-glucoside family PTS enzyme II,G12WB-3219 // G12WB-3222,
G12WB-1790-MONOMER,signaling protein,G12WB-1790,CCI-PM-BAC-POS-GP
CPLX12WB-4,glucose-glucoside family PTS enzyme II,G12WB-2664 // G12WB-2666,
G12WB-2149-MONOMER,MATE family efflux transporter,G12WB-2149,CCI-PM-BAC-POS-GP
CPLX12WB-25,allophanate hydrolase,G12WB-1524 // G12WB-1525,
G12WB-3682-MONOMER,transcription-repair coupling factor,G12WB-3682,CCI-CYTOSOL-GP
CPLX12WB-106,putative <i>sn</i>-glycerol 3-phosphate ABC transporter,G12WB-3591 // G12WB-3590 // G12WB-3589 // G12WB-3588,
G12WB-2483-MONOMER,mannitol-1-phosphate 5-dehydrogenase,G12WB-2483,
CPLX12WB-83,mannose-fructose-sorbose family PTS enzyme II,G12WB-1201 // G12WB-1200 // G12WB-1199 // G12WB-1197,
G12WB-1199-MONOMER,"mannose-fructose-sorbose family PTS, enzyme IIB component",G12WB-1199,CCI-CYTOSOL-GP
CPLX12WB-68,ethanolamine carboxysome structural protein EutS,G12WB-2052,
G12WB-2818-MONOMER,putative glucose-specific PTS< enzyme IIBC component,G12WB-2818,CCI-PM-BAC-POS-GP
CPLX12WB-51,glucose-glucoside family PTS enzyme II,G12WB-3265 // G12WB-3263,
G12WB-496-MONOMER,hypothetical protein,G12WB-496,
CPLX12WB-37,2-amino-4-ketopentanoate thiolase,G12WB-554 // G12WB-555,
G12WB-845-MONOMER,hypothetical protein,G12WB-845,
CPLX12WB-22,fumarate hydratase,G12WB-1118 // G12WB-1119,
G12WB-3154-MONOMER,"sulfonate family ABC transporter, substrate-binding protein",G12WB-3154,CCI-PM-BAC-POS-GP
CPLX12WB-103,putative iron(III)-hydroxamate ABC transporter,G12WB-3038 // G12WB-3037 // G12WB-3036 // G12WB-3035,
G12WB-143-MONOMER,50S ribosomal protein L18,G12WB-143,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
CPLX12WB-96,putative methionine ABC transporter,G12WB-1628 // G12WB-1627 // G12WB-1626,
G12WB-1774-MONOMER,tellurium resistance protein,G12WB-1774,
CPLX12WB-80,galactitol family PTS enzyme II,G12WB-95 // G12WB-93 // G12WB-94,
G12WB-2134-MONOMER,major cold shock protein CspC,G12WB-2134,CCI-CYTOSOL-GP
CPLX12WB-65,putative oligopeptide ABC transporter,G12WB-2821 // G12WB-2822 // G12WB-2825 // G12WB-2824 // G12WB-2823,
G12WB-3668-MONOMER,transcription termination factor Rho,G12WB-3668,
CPLX12WB-49,putative mannose-specific PTS enzyme II,G12WB-3179 // G12WB-3178 // G12WB-3177,
G12WB-2469-MONOMER,two-component sensor histidine kinase,G12WB-2469,CCI-PM-BAC-POS-GP
CPLX12WB-34,carbamoyl-phosphate synthase,G12WB-3775 // G12WB-3776,
G12WB-1184-MONOMER,hypothetical protein,G12WB-1184,CCI-PM-BAC-POS-GP
CPLX12WB-2,putative mannitol-specific PTS enzyme II,G12WB-2484 // G12WB-2486,
G12WB-2802-MONOMER,UDP-N-acetylglucosamine-N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N- acetylglucosamine transferase,G12WB-2802,CCI-PM-BAC-POS-GP
CPLX12WB-100,amino acid family ABC transporter,G12WB-1923 // G12WB-1922 // G12WB-1921,
G12WB-480-MONOMER,ATPase,G12WB-480,
CPLX12WB-93,sugar-family ABC transporter,G12WB-986 // G12WB-985 // G12WB-984,
G12WB-830-MONOMER,methenyltetrahydrofolate cyclohydrolase,G12WB-830,CCI-PM-BAC-POS-GP
CPLX12WB-78,queuosine-specific ECF transporter,G12WB-158 // G12WB-159 // G12WB-160 // G12WB-1825,
G12WB-314-MONOMER,CTP:phosphocholine cytidylyltransferase,G12WB-314,
CPLX12WB-62,toxin gene expression negative regulator,G12WB-773,
G12WB-1414-MONOMER,NifU family iron-sulfur cluster assembly protein,G12WB-1414,
CPLX12WB-46,putative ribitol-specific PTS enzyme II,G12WB-606 // G12WB-605 // G12WB-604 // G12WB-603,
G12WB-1758-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-1758,CCI-PM-BAC-POS-GP
CPLX12WB-31,transketolase,G12WB-2473 // G12WB-2474,
G12WB-2119-MONOMER,DNA mismatch repair protein MutS,G12WB-2119,
CPLX12WB-17,indolepyruvate oxidoreductase,G12WB-2530 // G12WB-2531,
G12WB-3653-MONOMER,"F<sub>o</sub>F<sub>1</sub> ATP synthase, subunit c",G12WB-3653,CCI-PM-BAC-POS-GP
CPLX-9456,queuosine hydrolase,G12WB-1824,
G12WB-2453-MONOMER,hypothetical protein,G12WB-2453,CCI-PM-BAC-POS-GP
CPLX12WB-90,amino acid family ABC transporter,G12WB-864 // G12WB-863 // G12WB-862,
G12WB-117-MONOMER,50S ribosomal protein L10,G12WB-117,CCI-RIBOSOME-GP
CPLX12WB-75,bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase complex,G12WB-839 // G12WB-827,
G12WB-2788-MONOMER,two-component sensor histidine kinase,G12WB-2788,CCI-PM-BAC-POS-GP
CPLX12WB-6,putative cellobiose-specifc PTS enzyme II,G12WB-3040 // G12WB-3043 // G12WB-3044,
G12WB-464-MONOMER,conjugative transposon protein,G12WB-464,
CPLX12WB-43,anaerobic sulfite reductase,G12WB-2386 // G12WB-2387 // G12WB-2388,
G12WB-816-MONOMER,Fe-S domain-containing protein,G12WB-816,
CPLX12WB-29,glycine reductase complex component C,G12WB-2500 // G12WB-2501,
G12WB-3125-MONOMER,V-type ATP synthase subunit I,G12WB-3125,CCI-PM-BAC-POS-GP
CPLX12WB-14,acetoin dehydrogenase E1,G12WB-88 // G12WB-89,
G12WB-140-MONOMER,30S ribosomal protein S14,G12WB-140,CCI-RIBOSOME-GP
CPLX12WB-87,putative lichenan-specific PTS enzyme II,G12WB-3835 // G12WB-3834 // G12WB-3832,
G12WB-1742-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-1742,CCI-PM-BAC-POS-GP
CPLX12WB-72,butyryl-CoA dehydrogenase complex,G12WB-1176 // G12WB-1175 // G12WB-1174,
G12WB-2103-MONOMER,"ABC transporter, ATP-binding protein",G12WB-2103,
CPLX12WB-56,putative polyamine ABC transporter,G12WB-1142 // G12WB-1141 // G12WB-1140 // G12WB-1139,
G12WB-3639-MONOMER,transketolase pyridine binding subunit,G12WB-3639,
CPLX12WB-40,DNA gyrase,G12WB-5 // G12WB-6,
G12WB-2439-MONOMER,"putative transporter, branched chain amino acid exporter family",G12WB-2439,CCI-PM-BAC-POS-GP
CPLX12WB-26,exodeoxyribonuclease VII,G12WB-1334 // G12WB-1335,
G12WB-1155-MONOMER,N-acetylmuramoyl-L-alanine amidase,G12WB-1155,
CPLX12WB-11,ribonucleoside-diphosphate reductase,G12WB-3159 // G12WB-3160,
G12WB-2773-MONOMER,cell division protein SepF,G12WB-2773,CCI-CYTOSOL-GP
CPLX12WB-84,fructose-mannitol family PTS enzyme II,G12WB-2435 // G12WB-2434 // G12WB-2433,
G12WB-4529-MONOMER,Conserved hypothetical protein,G12WB-4529,
CPLX12WB-69,"ethanolamine carboxysome structural protein, BMC family",G12WB-2062,
G12WB-801-MONOMER,metallo-hydrolase/oxidoreductase,G12WB-801,
CPLX12WB-52,glucitol family PTS enzyme II,G12WB-2569 // G12WB-2568 // G12WB-2565,
G12WB-3110-MONOMER,hypothetical protein,G12WB-3110,
CPLX12WB-38,xanthine dehydrogenase,G12WB-2231 // G12WB-2232 // G12WB-2233,
G12WB-1385-MONOMER,DNA-binding regulator,G12WB-1385,
CPLX12WB-23,D-ornithine aminomutase,G12WB-556 // G12WB-557,
G12WB-1726-MONOMER,"putative ribose ABC transporter, membrane subunit",G12WB-1726,CCI-PM-BAC-POS-GP
CPLX12WB-104,sulfonate family ABC transporter,G12WB-3156 // G12WB-3155 // G12WB-3154,
G12WB-2088-MONOMER,AraC family transcriptional regulator,G12WB-2088,
CPLX12WB-98,putative ribose ABC transporter,G12WB-1727 // G12WB-1726 // G12WB-1725,
G12WB-3624-MONOMER,"lactose-<i>N,N'</i>-diacetylchitobiose-&beta;-glucoside family PTS, enzyme IIA component",G12WB-3624,
CPLX12WB-81,"lactose-<i>N,N'</i>-diacetylchitobiose-&beta;-glucoside family PTS enzyme II",G12WB-241 // G12WB-240 // G12WB-239,
G12WB-2424-MONOMER,PTS operon transcription antiterminator,G12WB-2424,
CPLX12WB-66,cationic antimicrobial peptide ABC exporter,G12WB-1486 // G12WB-1485 // G12WB-1484,
G12WB-1137-MONOMER,membrane protein,G12WB-1137,CCI-PM-BAC-POS-GP
CPLX12WB-5,putative glucose-specific PTS enzyme II,G12WB-2817 // G12WB-2818,
