Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
FY484_RS09420-MONOMER	lipoprotein release complex, inner membrane protein LolE	FY484_RS09420	CCI-PM-BAC-NEG-GN
FY484_RS19115-MONOMER	mannitol-1-phosphate 5-dehydrogenase	FY484_RS19115	CCI-CYTOSOL-GN
FY484_RS10800-MONOMER	putative transporter, nucleobase:cation symporter-2 family	FY484_RS10800	CCI-PM-BAC-NEG-GN
FY484_RS03445-MONOMER	U32 family peptidase	FY484_RS03445	
FY484_RS12815-MONOMER	50S ribosomal protein L36	FY484_RS12815	CCI-RIBOSOME-GN
FY484_RS05440-MONOMER	hypothetical protein	FY484_RS05440	CCO-MEMBRANE
FY484_RS14805-MONOMER	ammonia-dependent NAD(+) synthetase	FY484_RS14805	CCI-CYTOSOL-GN
FY484_RS07380-MONOMER	hypothetical protein	FY484_RS07380	
FY484_RS01210-MONOMER	putative core oligosaccharide synthesis protein WavE	FY484_RS01210	
FY484_RS17080-MONOMER	formate--tetrahydrofolate ligase	FY484_RS17080	CCI-CYTOSOL-GN
FY484_RS09340-MONOMER	DUF3360 family protein	FY484_RS09340	CCO-MEMBRANE
FY484_RS19030-MONOMER	glycogen debranching protein GlgX	FY484_RS19030	
FY484_RS10720-MONOMER	ArsC family reductase	FY484_RS10720	CCI-CYTOSOL-GN
FY484_RS03350-MONOMER	ribosome assembly RNA-binding protein YhbY	FY484_RS03350	
FY484_RS12735-MONOMER	sulfate adenylyltransferase subunit CysN	FY484_RS12735	
FY484_RS05355-MONOMER	LysR family transcriptional regulator AphB	FY484_RS05355	
FY484_RS14715-MONOMER	response regulator	FY484_RS14715	
FY484_RS07285-MONOMER	hypothetical protein	FY484_RS07285	
FY484_RS04015-MONOMER	vibriobactin biosynthesis bifunctional isochorismatase/aryl carrier protein VibB	FY484_RS04015	
FY484_RS01130-MONOMER	myristoyl acyltransferase LpxL	FY484_RS01130	CCI-PM-BAC-NEG-GN
FY484_RS17000-MONOMER	DUF333 domain-containing protein	FY484_RS17000	
FY484_RS09255-MONOMER	peptidylprolyl isomerase	FY484_RS09255	
FY484_RS18950-MONOMER	glutaredoxin	FY484_RS18950	
FY484_RS10640-MONOMER	flagellar M-ring protein FliF	FY484_RS10640	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
FY484_RS03260-MONOMER	<i>N,N'</i>-diaccetylchitobiose ABC transporter ATP-binding protein	FY484_RS03260	CCI-PM-BAC-NEG-GN
FY484_RS12650-MONOMER	UbiX family flavin prenyltransferase	FY484_RS12650	
FY484_RS05265-MONOMER	putative metal-specific P-type ATPase	FY484_RS05265	CCI-PM-BAC-NEG-GN
FY484_RS14635-MONOMER	VWA domain-containing protein	FY484_RS14635	CCO-MEMBRANE
FY484_RS07205-MONOMER	universal stress protein UspE	FY484_RS07205	
FY484_RS01045-MONOMER	ATP-dependent DNA helicase RecQ	FY484_RS01045	CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
FY484_RS16915-MONOMER	SgrR family transcriptional regulator	FY484_RS16915	CCI-PERI-BAC-GN
FY484_RS09175-MONOMER	quinolinate synthase NadA	FY484_RS09175	CCI-CYTOSOL-GN
FY484_RS18865-MONOMER	LysR family transcriptional regulator	FY484_RS18865	
FY484_RS10560-MONOMER	50S ribosomal protein L3 N(5)-glutamine methyltransferase	FY484_RS10560	CCI-CYTOSOL-GN
FY484_RS03180-MONOMER	ATP-dependent helicase HrpB	FY484_RS03180	
FY484_RS12570-MONOMER	arabinose-5-phosphate isomerase KdsD	FY484_RS12570	
FY484_RS05165-MONOMER	electron transport complex subunit E	FY484_RS05165	CCI-PM-BAC-NEG-GN
FY484_RS14555-MONOMER	Na<sup>+</sup>:H<sup>+</sup> antiporter subunit E	FY484_RS14555	CCI-PM-BAC-NEG-GN
FY484_RS07120-MONOMER	type VI secretion system adaptor protein 1	FY484_RS07120	
FY484_RS00960-MONOMER	VSP-I; cGAMP-activated phospholipase CapV	FY484_RS00960	
FY484_RS16835-MONOMER	late competence development ComFB family protein	FY484_RS16835	
FY484_RS09095-MONOMER	ssDNA deoxyribodipyrimidine photo-lyase Cry1	FY484_RS09095	
FY484_RS18785-MONOMER	ATP-binding protein	FY484_RS18785	
FY484_RS10470-MONOMER	alpha/beta fold hydrolase	FY484_RS10470	
FY484_RS03090-MONOMER	YraN family protein	FY484_RS03090	
FY484_RS12480-MONOMER	RNA pseudouridine synthase	FY484_RS12480	
FY484_RS05085-MONOMER	N-acetylglucosamine-6-phosphate deacetylase	FY484_RS05085	
FY484_RS14470-MONOMER	nucleoside phosphorylase	FY484_RS14470	CCI-CYTOSOL-GN
FY484_RS07040-MONOMER	cluster I/F9 chemosensory system, protein-glutamate O-methyltransferase CheR1	FY484_RS07040	
FY484_RS00850-MONOMER	tripartite efflux pump RND permease	FY484_RS00850	CCI-PM-BAC-NEG-GN
FY484_RS16745-MONOMER	LysR family transcriptional regulator	FY484_RS16745	
FY484_RS09005-MONOMER	hypothetical protein	FY484_RS09005	
FY484_RS18695-MONOMER	MarR family transcriptional regulator	FY484_RS18695	
FY484_RS10390-MONOMER	zinc ABC transporter substrate-binding protein ZnuA	FY484_RS10390	
FY484_RS03010-MONOMER	ribosome maturation factor RimM	FY484_RS03010	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
FY484_RS12360-MONOMER	glycosyl transferase	FY484_RS12360	
FY484_RS05000-MONOMER	SPFH/Band 7/PHB domain protein	FY484_RS05000	CCI-PM-BAC-NEG-GN
FY484_RS14380-MONOMER	type VI secretion system AAA+-family ATPase	FY484_RS14380	
FY484_RS06955-MONOMER	TerB family tellurite resistance protein	FY484_RS06955	
FY484_RS00740-MONOMER	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	FY484_RS00740	
FY484_RS16665-MONOMER	putative transporter	FY484_RS16665	CCI-PM-BAC-NEG-GN
FY484_RS08910-MONOMER	sialic acid TRAP transporter small membrane protein	FY484_RS08910	CCI-PM-BAC-NEG-GN
FY484_RS18615-MONOMER	putative transporter, DMT family	FY484_RS18615	
FY484_RS10310-MONOMER	cluster II/F6 chemosensory system, histidine kinase CheA2	FY484_RS10310	CCI-CYTOSOL-GN
FY484_RS02890-MONOMER	recombination regulator RecX	FY484_RS02890	CCI-CYTOSOL-GN
FY484_RS12275-MONOMER	L-aspartate oxidase	FY484_RS12275	CCI-CYTOSOL-GN
FY484_RS04910-MONOMER	CNNM family magnesium/cobalt transport protein CorC	FY484_RS04910	CCI-PM-BAC-NEG-GN
FY484_RS14300-MONOMER	rhodanese-like domain-containing protein	FY484_RS14300	
FY484_RS06870-MONOMER	amino acid ABC transporter substrate-binding protein	FY484_RS06870	
FY484_RS00645-MONOMER	DUF484 family protein	FY484_RS00645	
FY484_RS16565-MONOMER	GNAT family N-acetyltransferase	FY484_RS16565	
FY484_RS08830-MONOMER	transcriptional regulator	FY484_RS08830	
FY484_RS18530-MONOMER	hypothetical protein	FY484_RS18530	
FY484_RS10230-MONOMER	SDR family oxidoreductase	FY484_RS10230	
FY484_RS02805-MONOMER	undecaprenyl-diphosphate phosphatase	FY484_RS02805	CCI-PM-BAC-NEG-GN
FY484_RS12190-MONOMER	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	FY484_RS12190	
FY484_RS04830-MONOMER	serine hydroxymethyltransferase 1	FY484_RS04830	CCI-CYTOSOL-GN
FY484_RS14210-MONOMER	GGDEF domain-containing protein	FY484_RS14210	
FY484_RS06785-MONOMER	tripeptidase T	FY484_RS06785	
FY484_RS00555-MONOMER	GNAT family N-acetyltransferase	FY484_RS00555	
CPLX2G6Z-93	putative amino acid ABC transporter	FY484_RS17770 // FY484_RS17775 // FY484_RS17780 // FY484_RS17765	
FY484_RS16470-MONOMER	type II toxin-antitoxin system, N-acetyltransferase-type toxin	FY484_RS16470	
CPLX2G6Z-74	ABC transporter	FY484_RS17880 // FY484_RS17885	
FY484_RS08740-MONOMER	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase	FY484_RS08740	
CPLX2G6Z-55	corrinoid ABC transporter	FY484_RS06295 // FY484_RS11835 // FY484_RS06300	
FY484_RS18450-MONOMER	hypothetical protein	FY484_RS18450	
CPLX2G6Z-34	<i>cbb<sub>3</sub></i>-type cytochrome <i>c</i> oxidase	FY484_RS07235 // FY484_RS07245 // FY484_RS07250 // FY484_RS07240	
FY484_RS10135-MONOMER	ribonuclease E	FY484_RS10135	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
CPLX2G6Z-222	FhuA-TonB1 ferrichrome transporter	FY484_RS18490 // FY484_RS18495 // FY484_RS18500 // FY484_RS01065	
FY484_RS02710-MONOMER	VSP-II; DUF2787 domain-containing protein	FY484_RS02710	
CPLX2G6Z-206	transcriptional regulator AphA	FY484_RS13170	
FY484_RS12110-MONOMER	ADP-ribose diphosphatase	FY484_RS12110	CCI-CYTOSOL-GN
CPLX2G6Z-189	flagellar basal-body MS-ring	FY484_RS10640	
FY484_RS04750-MONOMER	exopolysaccharide biosynthesis protein VpsH	FY484_RS04750	
CPLX2G6Z-174	2-oxoglutarate dehydrogenase complex	FY484_RS11990 // FY484_RS10415 // FY484_RS10420	
FY484_RS14120-MONOMER	S9 family peptidase	FY484_RS14120	
CPLX2G6Z-159	RTX toxin type I secretion system	FY484_RS07270 // FY484_RS07275 // FY484_RS07280 // FY484_RS12115	
FY484_RS06705-MONOMER	galactose ABC transporter substrate-binding protein	FY484_RS06705	CCI-PERI-BAC-GN
CPLX2G6Z-142	trehalose-specific PTS enzyme II	FY484_RS04670 // FY484_RS04935	
FY484_RS00460-MONOMER	Sec-independent protein translocase subunit TatA	FY484_RS00460	CCI-PM-BAC-NEG-GN
CPLX2G6Z-126	tripartite efflux pump VexAB-TolC	FY484_RS12115 // FY484_RS00850 // FY484_RS00855	
FY484_RS16375-MONOMER	type II toxin-antitoxin system, HigA2 antitoxin	FY484_RS16375	
CPLX2G6Z-107	putative thiosulfate ABC transporter	FY484_RS02875 // FY484_RS02870 // FY484_RS02865 // FY484_RS02860	
FY484_RS08655-MONOMER	HTH-type transcriptional repressor PurR	FY484_RS08655	
CPLX2G6Z-9	DNA topoisomerase IV	FY484_RS12085 // FY484_RS12090	
FY484_RS18360-MONOMER	L-threonine 3-dehydrogenase	FY484_RS18360	CCI-CYTOSOL-GN
CPLX2G6Z-7	putative DNA polymerase III, core enzyme	FY484_RS11165 // FY484_RS11220	
FY484_RS10045-MONOMER	glucose/mannose-specific PTS enzyme IICB component	FY484_RS10045	CCI-PM-BAC-NEG-GN
CPLX2G6Z-51	phosphate ABC transporter 2	FY484_RS14150 // FY484_RS14155 // FY484_RS14160 // FY484_RS14165	
FY484_RS02615-MONOMER	VSP-II; DNA-defence module protein C	FY484_RS02615	
CPLX2G6Z-31	glycine--tRNA ligase	FY484_RS00100 // FY484_RS00105	
FY484_RS12025-MONOMER	bifunctional protein-disulfide isomerase/oxidoreductase DsbC	FY484_RS12025	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
CPLX2G6Z-219	IrgA-TonB2 enterobactin transporter	FY484_RS07780 // FY484_RS07765 // FY484_RS07775 // FY484_RS07770 // FY484_RS02545	
FY484_RS04650-MONOMER	ABC transporter permease	FY484_RS04650	CCI-PM-BAC-NEG-GN
CPLX2G6Z-201	toxin-coregulated pilus	FY484_RS04310 // FY484_RS04315 // FY484_RS04300 // FY484_RS04335 // FY484_RS04290 // FY484_RS04320 // FY484_RS04305 // FY484_RS04295 // FY484_RS04285 // FY484_RS04280	
FY484_RS14035-MONOMER	glutamate:Na<sup>+</sup> symporter	FY484_RS14035	CCI-PM-BAC-NEG-GN
CPLX2G6Z-186	flagellar motor switch complex	FY484_RS10595 // FY484_RS10600 // FY484_RS10635	
FY484_RS06615-MONOMER	transcriptional regulator TyrR	FY484_RS06615	CCI-CYTOSOL-GN
CPLX2G6Z-171	penicillin-binding protein 1A complex	FY484_RS13115 // FY484_RS03095 // FY484_RS09445	
FY484_RS00375-MONOMER	putative efflux transporter, major facilitator superfamily	FY484_RS00375	CCI-PM-BAC-NEG-GN
CPLX2G6Z-156	periplasmic nitrate reductase	FY484_RS17385 // FY484_RS17380	
FY484_RS16240-MONOMER	hypothetical protein	FY484_RS16240	
CPLX2G6Z-138	glucose/mannose-specific PTS enzyme II	FY484_RS04935 // FY484_RS10045	
FY484_RS08570-MONOMER	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	FY484_RS08570	
CPLX2G6Z-122	fructose-specific PTS enzyme II	FY484_RS16620 // FY484_RS16630	
FY484_RS18275-MONOMER	penicillin-binding protein 7	FY484_RS18275	
CPLX2G6Z-1	acetolactate synthase II	FY484_RS00155 // FY484_RS00160	
FY484_RS09965-MONOMER	DUF2989 domain-containing protein	FY484_RS09965	
CPLX2G6Z-87	integration host factor	FY484_RS06205 // FY484_RS09570	
FY484_RS02530-MONOMER	methionine adenosyltransferase	FY484_RS02530	CCI-CYTOSOL-GN
CPLX2G6Z-66	tripartite ABC-type macrolide efflux pump	FY484_RS07865 // FY484_RS07870 // FY484_RS07875 // FY484_RS07860 // FY484_RS07855	
FY484_RS11935-MONOMER	UDP-N-acetylmuramate--L-alanine ligase	FY484_RS11935	CCI-CYTOSOL-GN
CPLX2G6Z-49	exodeoxyribonuclease VII	FY484_RS04580 // FY484_RS03990	
FY484_RS04565-MONOMER	tRNA pseudouridine(65) synthase TruC	FY484_RS04565	
CPLX2G6Z-29	3-isopropylmalate dehydratase	FY484_RS12385 // FY484_RS12390	
FY484_RS13950-MONOMER	putative transporter	FY484_RS13950	CCI-PM-BAC-NEG-GN
CPLX2G6Z-216	HutR-TonB1 heme transporter	FY484_RS18490 // FY484_RS18495 // FY484_RS18500 // FY484_RS14125	
FY484_RS06530-MONOMER	3'-5' exonuclease	FY484_RS06530	CCI-CYTOSOL-GN
CPLX2G6Z-199	&beta; carbonic anhydrase	FY484_RS03120	
FY484_RS00260-MONOMER	5-(carboxyamino)imidazole ribonucleotide synthase	FY484_RS00260	CCI-CYTOSOL-GN
CPLX2G6Z-183	flagellar filament	FY484_RS10675 // FY484_RS10695 // FY484_RS10690 // FY484_RS10950 // FY484_RS10685 // FY484_RS10955	
FY484_RS16135-MONOMER	DUF2971 domain-containing protein	FY484_RS16135	
CPLX2G6Z-169	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex	FY484_RS01835 // FY484_RS02775 // FY484_RS09920	
FY484_RS08475-MONOMER	manganese-dependent inorganic pyrophosphatase	FY484_RS08475	CCI-CYTOSOL-GN
CPLX2G6Z-151	Holliday junction branch migration	FY484_RS09235 // FY484_RS09240	
FY484_RS18185-MONOMER	LytTR family response regulator	FY484_RS18185	CCI-CYTOSOL-GN
CPLX2G6Z-135	intermembrane phospholipid transport system	FY484_RS12550 // FY484_RS12545 // FY484_RS12555 // FY484_RS12535	
FY484_RS09875-MONOMER	deoxyguanosinetriphosphate triphosphohydrolase family protein	FY484_RS09875	
CPLX2G6Z-12	ADP-forming succinate--CoA ligase	FY484_RS10405 // FY484_RS10410	
FY484_RS02450-MONOMER	XTP/dITP diphosphatase	FY484_RS02450	CCI-CYTOSOL-GN
CPLX-8127		FY484_RS10165	
FY484_RS11850-MONOMER	putative transporter	FY484_RS11850	CCI-PM-BAC-NEG-GN
CPLX2G6Z-83	electron transport complex	FY484_RS05190 // FY484_RS05175 // FY484_RS05180 // FY484_RS05165 // FY484_RS05185 // FY484_RS05170	
FY484_RS04485-MONOMER	phosphoribosylformylglycinamidine synthase	FY484_RS04485	CCI-CYTOSOL-GN
CPLX2G6Z-63	ABC transporter	FY484_RS03130 // FY484_RS03135	
FY484_RS13855-MONOMER	hypothetical protein	FY484_RS13855	
CPLX2G6Z-43	restriction endonuclease	FY484_RS08860 // FY484_RS08845	
FY484_RS06445-MONOMER	TRAP family transporter small membrane protein	FY484_RS06445	CCI-PM-BAC-NEG-GN
CPLX2G6Z-26	sulfurtransferase complex	FY484_RS01900 // FY484_RS01905 // FY484_RS01910	
FY484_RS00175-MONOMER	thiol:disulfide interchange protein DsbA	FY484_RS00175	CCI-PERI-BAC-GN
