Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
HP_RS02165-MONOMER	HP_RS02165	IS605 transposase TnpB	
HP_RS04140-MONOMER	HP_RS04140	Type I restriction-modification system M protein M.HpyAXIII	
HP_RS06200-MONOMER	HP_RS06200	Orotate phosphoribosyltransferase PyrE	
HP_RS02060-MONOMER	HP_RS02060	cyclopropane fatty acid synthase	
HP_RS04050-MONOMER	HP_RS04050	Aspartyl/glutamyl-tRNA amidotransferase subunit A GatA	
HP_RS06120-MONOMER	HP_RS06120	Alanyl-tRNA synthetase	CCI-CYTOSOL-GN
HP_RS01955-MONOMER	HP_RS01955	Phosphoglycerate dehydrogenase SerA	
HP_RS03970-MONOMER	HP_RS03970	flagellar motor protein MotA	CCI-PM-BAC-NEG-GN
HP_RS06035-MONOMER	HP_RS06035	Rhodanese domain-containing protein	
HP_RS01875-MONOMER	HP_RS01875	Protoporphyrinogen oxidase	
HP_RS03885-MONOMER	HP_RS03885	Molybdenum cofactor biosynthesis protein MoaC	
HP_RS05910-MONOMER	HP_RS05910	Transcription antitermination protein NusG	CCI-CYTOSOL-GN
HP_RS07900-MONOMER	HP_RS07900	inactive Type III restriction-modification system M protein M.HpyAXVII C-terminal domain	CCI-CYTOSOL-GN
HP_RS01785-MONOMER	HP_RS01785	Protein-L-isoaspartate O-methyltransferase	CCI-CYTOSOL-GN
HP_RS03795-MONOMER	HP_RS03795	Bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase  AcnB	CCI-CYTOSOL-GN
HP_RS05825-MONOMER	HP_RS05825	putative efflux transporter, major facilitator superfamily	CCI-PM-BAC-NEG-GN
HP_RS07795-MONOMER	HP_RS07795	FlhB-related flagellar biosynthesis protein FlhX	CCI-PM-BAC-NEG-GN
HP_RS01695-MONOMER	HP_RS01695	hypothetical protein	
HP_RS03715-MONOMER	HP_RS03715	Hypothetical protein HP0762	
HP_RS05740-MONOMER	HP_RS05740	Carbon starvation protein A CstA	CCI-PM-BAC-NEG-GN
HP_RS01600-MONOMER	HP_RS01600	flagellar basal-body L-ring protein FlgH	CCI-OUTER-MEM-GN // CCO-CELL-PROJECTION
HP_RS03630-MONOMER	HP_RS03630	50S ribosome-binding GTPase	
HP_RS05660-MONOMER	HP_RS05660	signal recognition particle protein component	CCI-CYTOSOL-GN
HP_RS07635-MONOMER	HP_RS07635	ToxR-activated protein TagE2	CCO-MEMBRANE
HP_RS01520-MONOMER	HP_RS01520	Hypothetical protein HP0308	CCO-MEMBRANE
HP_RS03540-MONOMER	HP_RS03540	tRNA-dihydrouridine synthase B	
HP_RS05565-MONOMER	HP_RS05565	F0F1 ATP synthase subunit gamma, AtpG	CCI-PM-BAC-NEG-GN
HP_RS07555-MONOMER	HP_RS07555	periplasmic competence protein ComH	
HP_RS01440-MONOMER	HP_RS01440	DUF2156 domain-containing protein	CCI-PM-BAC-NEG-GN
HP_RS03450-MONOMER	HP_RS03450	Ribosomal RNA small subunit methyltransferase H	CCI-CYTOSOL-GN
HP_RS05480-MONOMER	HP_RS05480	Hypothetical protein HP1116	
HP_RS07465-MONOMER	HP_RS07465	Ferrodoxin-like protein	CCI-PM-BAC-NEG-GN
HP_RS01360-MONOMER	HP_RS01360	Indole-3-glycerol phosphate synthase	
HP_RS03365-MONOMER	HP_RS03365	ferrous iron transport protein B	CCI-PM-BAC-NEG-GN
HP_RS05400-MONOMER	HP_RS05400	6-phosphogluconate dehydratase	CCI-CYTOSOL-GN
HP_RS07380-MONOMER	HP_RS07380	Co2 resistance protein CorC	CCO-MEMBRANE
HP_RS01275-MONOMER	HP_RS01275	Exodeoxyribonuclease VII large subunit	CCI-CYTOSOL-GN
HP_RS03270-MONOMER	HP_RS03270	Chorismate synthase AroC	CCI-CYTOSOL-GN
HP_RS05320-MONOMER	HP_RS05320	putative ATP-dependent Lipid A-core flippase	CCO-MEMBRANE
HP_RS07300-MONOMER	HP_RS07300	Thymidylate kinase	CCI-CYTOSOL-GN
HP_RS01185-MONOMER	HP_RS01185	Hypothetical protein HP0241	
HP_RS03190-MONOMER	HP_RS03190	Hypothetical protein HP0647	CCO-MEMBRANE
HP_RS05235-MONOMER	HP_RS05235	Hypothetical protein HP1065	
HP_RS07220-MONOMER	HP_RS07220	thioredoxin Trx2	CCI-CYTOSOL-GN
HP_RS01095-MONOMER	HP_RS01095	DNA repair protein RadA	
HP_RS03105-MONOMER	HP_RS03105	NADPH dehydrogenase (quinone)	
HP_RS05155-MONOMER	HP_RS05155	DUF448 domain-containing protein	
HP_RS07140-MONOMER	HP_RS07140	Carbon storage regulator CsrA	CCI-CYTOSOL-GN
HP_RS01010-MONOMER	HP_RS01010	AAA family ATPase	
HP_RS03025-MONOMER	HP_RS03025	NAD-dependent DNA ligase LigA	CCI-CYTOSOL-GN
HP_RS05075-MONOMER	HP_RS05075	hypothetical protein	
HP_RS07045-MONOMER	HP_RS07045	Putative RNA binding protein	
HP_RS00920-MONOMER	HP_RS00920	UPF0114 protein HP0189	CCI-PM-BAC-NEG-GN
HP_RS02940-MONOMER	HP_RS02940	tumor necrosis factor alpha-inducing protein monomer	
HP_RS04990-MONOMER	HP_RS04990	Hypothetical protein HP1015	CCO-MEMBRANE
HP_RS06965-MONOMER	HP_RS06965	hypothetical protein	CCO-MEMBRANE
HP_RS00835-MONOMER	HP_RS00835	Peptide chain release factor 2 PrfB	CCI-CYTOSOL-GN
HP_RS02855-MONOMER	HP_RS02855	Kdo hydrolase subunit 2	CCO-MEMBRANE
HP_RS04880-MONOMER	HP_RS04880	Hypothetical protein HP0994	
HP_RS06865-MONOMER	HP_RS06865	Hypothetical protein HP1387a	
HP_RS00755-MONOMER	HP_RS00755	RecA recombinase	CCI-CYTOSOL-GN
HP_RS02775-MONOMER	HP_RS02775	Predicted coding region HP0564	
HP_RS04785-MONOMER	HP_RS04785	Cell division protein FtsA	CCI-PM-BAC-NEG-GN
HP_RS06785-MONOMER	HP_RS06785	ATP-dependent protease ATP-binding subunit ClpX	
HP_RS00670-MONOMER	HP_RS00670	bacterioferritin comigratory protein	CCI-CYTOSOL-GN
HP_RS02685-MONOMER	HP_RS02685	Cag T4SS protein CagC	CCO-MEMBRANE
HP_RS04695-MONOMER	HP_RS04695	GTP cyclohydrolase I	CCI-CYTOSOL-GN
HP_RS06700-MONOMER	HP_RS06700	Quinolinate synthetase NadA	CCI-CYTOSOL-GN
HP_RS00590-MONOMER	HP_RS00590	DNA topoisomerase I TopA	
HP_RS02605-MONOMER	HP_RS02605	Cag T4SS protein CagW	CCO-MEMBRANE
HP_RS00180-MONOMER	HP_RS00180	ATP-dependent Clp protease ClpA	CCI-CYTOSOL-GN
HP_RS04595-MONOMER	HP_RS04595	D-amino acid dehydrogenase DadA	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
HP_RS06605-MONOMER	HP_RS06605	<i>apo</i>-nickel response regulator NikR	
HP_RS00505-MONOMER	HP_RS00505	methyl-accepting chemotaxis protein TlpA	CCO-MEMBRANE
HP_RS02520-MONOMER	HP_RS02520	Hypothetical protein HP0511	
HP_RS00095-MONOMER	HP_RS00095	ComB3 competence protein	CCO-MEMBRANE
HP_RS04500-MONOMER	HP_RS04500	outer membrane protein HopK	
HP_RS06525-MONOMER	HP_RS06525	Hypothetical protein HP1322	
HP_RS00415-MONOMER	HP_RS00415	methyl-accepting chemotaxis protein TlpC	CCO-MEMBRANE
HP_RS02435-MONOMER	HP_RS02435	Neuraminyllactose-binding hemagglutinin	CCI-OUTER-MEM-GN
HP_RS04400-MONOMER	HP_RS04400	hydrogenase/urease maturation factor HypB	
HP_RS06445-MONOMER	HP_RS06445	30S ribosomal protein S14	CCI-RIBOSOME-GN
HP_RS00330-MONOMER	HP_RS00330	Hypothetical protein HP0065	
HP_RS06430-MONOMER	HP_RS06430	50S ribosomal protein L18	CCI-RIBOSOME-GN
HP_RS02330-MONOMER	HP_RS02330	putative glutathione-regulated potassium efflux transporter	CCO-MEMBRANE
HP_RS04280-MONOMER	HP_RS04280	Holliday junction resolvase	
HP_RS06350-MONOMER	HP_RS06350	Transcriptional regulator TenA	CCI-CYTOSOL-GN
HP_RS04210-MONOMER	HP_RS04210	plasminogen-binding protein PgbB	
HP_RS06270-MONOMER	HP_RS06270	ferredoxin-menaquinone dehydrogenase subunit L	CCO-MEMBRANE
HP_RS02145-MONOMER	HP_RS02145	protein kinase	
HP_RS04125-MONOMER	HP_RS04125	Hydroxyethylthiazole kinase ThiM	
HP_RS06185-MONOMER	HP_RS06185	malonyl-[acyl-carrier protein] <em>O</em>-methyltransferase	
HP_RS02020-MONOMER	HP_RS02020	Putative neuraminyllactose-binding hemagglutinin-like protein	CCI-OUTER-MEM-GN
HP_RS04035-MONOMER	HP_RS04035	RNA binding protein	
HP_RS06105-MONOMER	HP_RS06105	Carbamoyl phosphate synthase small subunit	
HP_RS01940-MONOMER	HP_RS01940	UDP-2,3-diacylglucosamine hydrolase	CCI-PM-BAC-NEG-GN
HP_RS03955-MONOMER	HP_RS03955	Hypothetical protein HP0812	
HP_RS06020-MONOMER	HP_RS06020	ABC transporter ATP-binding protein	
HP_RS01860-MONOMER	HP_RS01860	bifunctional cytochrome <i>c</i> biogenesis protein CcsBA	CCI-PM-BAC-NEG-GN
HP_RS03870-MONOMER	HP_RS03870	trigger factor monomer	CCI-CYTOSOL-GN
HP_RS05895-MONOMER	HP_RS05895	50S ribosomal protein L10	CCI-RIBOSOME-GN
HP_RS07880-MONOMER	HP_RS07880	Hypothetical protein HP0756	
HP_RS01770-MONOMER	HP_RS01770	UDP-glucose 4-epimerase	CCI-CYTOSOL-GN
HP_RS03780-MONOMER	HP_RS03780	DNA-directed RNA polymerase subunit omega	
HP_RS05810-MONOMER	HP_RS05810	tRNA(Cytosine32)-2-thiocytidine synthetase	
HP_RS07780-MONOMER	HP_RS07780	peptidoglycan lytic endotransglycosylase	
HP_RS01675-MONOMER	HP_RS01675	Hypothetical protein HP0340	
HP_RS03695-MONOMER	HP_RS03695	putative transporter, Na<sup>+</sup>:H<sup>+</sup> antiporter (NhaC) family	CCI-PM-BAC-NEG-GN
HP_RS05725-MONOMER	HP_RS05725	putative efflux transporter, major facilitator superfamily	CCO-MEMBRANE
HP_RS07700-MONOMER	HP_RS07700	transcriptional regulator	
HP_RS01585-MONOMER	HP_RS01585	Poly E-rich protein ChePep	CCI-CYTOSOL-GN
HP_RS03610-MONOMER	HP_RS03610	Ribose-phosphate pyrophosphokinase PrsA	CCI-CYTOSOL-GN
HP_RS05645-MONOMER	HP_RS05645	16S rRNA processing protein RimM	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
HP_RS07620-MONOMER	HP_RS07620	Transcription-repair coupling factor TrcF	CCI-CYTOSOL-GN
HP_RS01505-MONOMER	HP_RS01505	Base-induced polyisoprenoid-binding periplasmic protein	
HP_RS03525-MONOMER	HP_RS03525	anaerobic C4-dicarboxylate transporter DcuA	CCI-PM-BAC-NEG-GN
HP_RS05550-MONOMER	HP_RS05550	MotA/TolQ/ExbB family protein	CCI-PM-BAC-NEG-GN
HP_RS07535-MONOMER	HP_RS07535	Hypothetical lipoprotein HP1526	
HP_RS01425-MONOMER	HP_RS01425	Putative vacuolating cytotoxin (VacA)-like protein ImaA	
HP_RS03435-MONOMER	HP_RS03435	transcriptional activator of flagella proteins FlgR	
HP_RS05465-MONOMER	HP_RS05465	Outer membrane protein HorI	
HP_RS07450-MONOMER	HP_RS07450	Diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase	
HP_RS01345-MONOMER	HP_RS01345	Hypothetical protein HP0273	CCO-MEMBRANE
HP_RS03350-MONOMER	HP_RS03350	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	CCI-CYTOSOL-GN
HP_RS05385-MONOMER	HP_RS05385	IS605 transposase TnpA	
HP_RS07365-MONOMER	HP_RS07365	ABC-type tripartite efflux pump, membrane protein	CCI-PM-BAC-NEG-GN
HP_RS01260-MONOMER	HP_RS01260	flagellar FliJ protein	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
HP_RS03255-MONOMER	HP_RS03255	TPR_REGION domain-containing protein	CCO-MEMBRANE
HP_RS05305-MONOMER	HP_RS05305	uncharacterized ATPase/GTPase	
HP_RS07285-MONOMER	HP_RS07285	inactive Type IIB restriction-modification system M/R protein	
HP_RS01170-MONOMER	HP_RS01170	Prolyl-tRNA synthetase	CCI-CYTOSOL-GN
HP_RS03175-MONOMER	HP_RS03175	conserved hypothetical integral membrane protein	CCO-MEMBRANE
HP_RS05220-MONOMER	HP_RS05220	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	CCI-CYTOSOL-GN
HP_RS07205-MONOMER	HP_RS07205	Hypothetical protein HP1455	
HP_RS01080-MONOMER	HP_RS01080	cysteine desulfurase NifS	CCI-CYTOSOL-GN
HP_RS03090-MONOMER	HP_RS03090	hypothetical protein	
HP_RS05140-MONOMER	HP_RS05140	Ribosome maturation factor RimP	CCI-CYTOSOL-GN
HP_RS07115-MONOMER	HP_RS07115	Putative lipoprotein HP1438	
HP_RS00985-MONOMER	HP_RS00985	3-oxoacyl-[acyl-carrier-protein] synthase 3 FabH	CCI-CYTOSOL-GN
HP_RS03010-MONOMER	HP_RS03010	hypothetical protein	CCO-MEMBRANE
HP_RS05060-MONOMER	HP_RS05060	flagellar motor switch protein FliY	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
HP_RS07030-MONOMER	HP_RS07030	flagellar export ATPase FliI	CCI-CYTOSOL-GN // CCO-MEMBRANE
HP_RS00900-MONOMER	HP_RS00900	DUF1882 domain-containing protein	
HP_RS02920-MONOMER	HP_RS02920	Type III restriction-modification system R protein R.HpyAXI	
HP_RS04975-MONOMER	HP_RS04975	Putative zinc protease PqqE	CCI-EXTRACELLULAR-GN
HP_RS00820-MONOMER	HP_RS00820	TPR_REGION domain-containing protein	
HP_RS02840-MONOMER	HP_RS02840	Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase	CCI-CYTOSOL-GN
HP_RS04860-MONOMER	HP_RS04860	Hypothetical protein HP0990	
HP_RS06850-MONOMER	HP_RS06850	DNA polymerase III subunit epsilon DnaQ	CCI-CYTOSOL-GN // CCO-MEMBRANE
HP_RS00740-MONOMER	HP_RS00740	Hypothetical protein HP0150	CCO-MEMBRANE
HP_RS02760-MONOMER	HP_RS02760	3-ketoacyl-ACP reductase	
HP_RS04770-MONOMER	HP_RS04770	Glutamyl-tRNA(Gln) amidotransferase subunit C	
HP_RS06770-MONOMER	HP_RS06770	inactive Type III restriction-modification system R protein R.HpyAXVII	
HP_RS00655-MONOMER	HP_RS00655	L-serine ammonia-lyase	
HP_RS02670-MONOMER	HP_RS02670	CagF protein	
HP_RS00250-MONOMER	HP_RS00250	agmatine deiminase	
HP_RS04680-MONOMER	HP_RS04680	Pseudouridine synthase RluC	
HP_RS06670-MONOMER	HP_RS06670	Type IIP restriction-modification system R protein R.HpyAIV	
HP_RS00575-MONOMER	HP_RS00575	Hypothetical protein HP0113	
HP_RS02590-MONOMER	HP_RS02590	CagZ protein	
HP_RS00165-MONOMER	HP_RS00165	Hypothetical protein HP0030	
HP_RS04580-MONOMER	HP_RS04580	amino acid family ABC transporter, substrate-binding protein	
HP_RS06590-MONOMER	HP_RS06590	tRNA-specific 2-thiouridylase MnmA	CCI-CYTOSOL-GN
HP_RS00490-MONOMER	HP_RS00490	2-hydroxyacid dehydrogenase	
HP_RS02505-MONOMER	HP_RS02505	plasminogen-binding protein PgbA	
HP_RS00080-MONOMER	HP_RS00080	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	
HP_RS04485-MONOMER	HP_RS04485	Ribonuclease 3	CCI-PM-BAC-NEG-GN
HP_RS06510-MONOMER	HP_RS06510	50S ribosomal protein L3	CCI-RIBOSOME-GN
HP_RS00400-MONOMER	HP_RS00400	first part of outer membrane protein HorA	
HP_RS02420-MONOMER	HP_RS02420	Hypothetical protein HP0489	
HP_RS04385-MONOMER	HP_RS04385	hypothetical protein	
HP_RS06415-MONOMER	HP_RS06415	Sec translocon subunit SecY	CCI-PM-BAC-NEG-GN
HP_RS02315-MONOMER	HP_RS02315	DUF5644 domain-containing protein	
HP_RS04265-MONOMER	HP_RS04265	Hypothetical protein HP0874	
HP_RS06335-MONOMER	HP_RS06335	heptosyltransferase III	CCI-CYTOSOL-GN
HP_RS02230-MONOMER	HP_RS02230	Hypothetical protein HP0452	
HP_RS04195-MONOMER	HP_RS04195	D,D-heptose 1,7-bisphosphate phosphatase	CCI-CYTOSOL-GN
HP_RS06255-MONOMER	HP_RS06255	ferredoxin-menaquinone dehydrogenase subunit I	CCI-PM-BAC-NEG-GN
HP_RS02110-MONOMER	HP_RS02110	Hypothetical protein HP0426	
HP_RS04110-MONOMER	HP_RS04110	Hypothetical protein HP0842	
HP_RS06170-MONOMER	HP_RS06170	peptide ABC transporter, membrane protein	CCI-PM-BAC-NEG-GN
HP_RS02005-MONOMER	HP_RS02005	Biotin sulfoxide reductase BisC	CCI-PERI-BAC-GN
HP_RS04020-MONOMER	HP_RS04020	thioredoxin Trx1	
HP_RS06090-MONOMER	HP_RS06090	putative transporter	CCI-PM-BAC-NEG-GN
HP_RS01925-MONOMER	HP_RS01925	chemotaxis protein CheW	CCI-CYTOSOL-GN
HP_RS03940-MONOMER	HP_RS03940	Flagellar basal body-associated protein FliL	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
HP_RS06000-MONOMER	HP_RS06000	Hypothetical protein HP1214	
MONOMER2DNV-5	G2DNV-42	UDP-2,4-diacetamido-2,4,6-trideoxy-&beta;-<small>L</small>-altropyranose hydrolase	
HP_RS01845-MONOMER	HP_RS01845	Hypothetical protein HP0375	CCO-MEMBRANE
HP_RS03855-MONOMER	HP_RS03855	Sigma-54 interacting protein	
HP_RS05880-MONOMER	HP_RS05880	30S ribosomal protein S12	CCI-RIBOSOME-GN
HP_RS07845-MONOMER	HP_RS07845	flagellar basal-body rod protein FlgG	CCO-CELL-PROJECTION
HP_RS01745-MONOMER	HP_RS01745	DUF3883 domain-containing protein	
HP_RS03765-MONOMER	HP_RS03765	decanoyl-[acp]-oxidase/<em>trans</em>-2-decenoyl-[acp] isomerase	
HP_RS05790-MONOMER	HP_RS05790	Phosphopentomutase DeoB	CCI-CYTOSOL-GN
HP_RS07765-MONOMER	HP_RS07765	putative lipopolysaccharide transport system protein LptC	CCO-MEMBRANE
HP_RS01660-MONOMER	HP_RS01660	Hypothetical protein HP0337	
HP_RS03680-MONOMER	HP_RS03680	Hypothetical protein HP0754	
HP_RS05710-MONOMER	HP_RS05710	DedA family protein	CCI-PM-BAC-NEG-GN
HP_RS07685-MONOMER	HP_RS07685	30S ribosomal protein S2	CCI-RIBOSOME-GN
HP_RS01570-MONOMER	HP_RS01570	Arginyl-tRNA synthetase	CCI-CYTOSOL-GN
HP_RS03595-MONOMER	HP_RS03595	carboxylesterase	
HP_RS05615-MONOMER	HP_RS05615	Hypothetical protein HP1143	
HP_RS07605-MONOMER	HP_RS07605	menaiquinol cytochrome c oxidoreductase, cytochrome c1	
HP_RS01490-MONOMER	HP_RS01490	peptide ABC transporter, ATP-binding protein DppF	
HP_RS03510-MONOMER	HP_RS03510	sialic acid binding protein	
HP_RS05530-MONOMER	HP_RS05530	peptidoglycan-associated lipoprotein PalA	CCO-MEMBRANE
HP_RS07520-MONOMER	HP_RS07520	inactive Type III restriction-modification system R protein (Res)	
HP_RS01410-MONOMER	HP_RS01410	Cell division protein FtsH	CCI-PM-BAC-NEG-GN
HP_RS03420-MONOMER	HP_RS03420	Diacylglycerol kinase	CCI-PM-BAC-NEG-GN
HP_RS05450-MONOMER	HP_RS05450	Pyruvate flavodoxin oxidoreductase subunit alpha PorA	
HP_RS07435-MONOMER	HP_RS07435	Translocation protein, low temperature	CCO-MEMBRANE
HP_RS01330-MONOMER	HP_RS01330	acyl-Kdo<small><sub>2</sub></small>-lipid IV<small><sub>A</sub></small> acyltransferase	
HP_RS03335-MONOMER	HP_RS03335	Ribonucleotide-diphosphate reductase subunit alpha	CCI-CYTOSOL-GN
HP_RS05370-MONOMER	HP_RS05370	flagellar basal-body rod protein FlgF	CCO-CELL-PROJECTION
HP_RS07350-MONOMER	HP_RS07350	UPF0093 membrane protein HP1484	CCI-PM-BAC-NEG-GN
HP_RS01235-MONOMER	HP_RS01235	ABC transporter, membrane protein	CCI-PM-BAC-NEG-GN
HP_RS03240-MONOMER	HP_RS03240	Processing protease YmxG	CCI-EXTRACELLULAR-GN
HP_RS05290-MONOMER	HP_RS05290	flagellar export co-chaperone	
HP_RS07270-MONOMER	HP_RS07270	Branched-chain amino acid aminotransferase IlvE	
HP_RS01155-MONOMER	HP_RS01155	Helicobacter cysteine-rich protein E HcpE	CCI-EXTRACELLULAR-GN
HP_RS03160-MONOMER	HP_RS03160	Predicted coding region HP0641	
HP_RS05205-MONOMER	HP_RS05205	Holliday junction DNA helicase RuvB	
HP_RS07190-MONOMER	HP_RS07190	tRNA modification GTPase TrmE	CCI-CYTOSOL-GN
HP_RS01065-MONOMER	HP_RS01065	Beta-1,4-N-acetylgalactosamyltransferase	
HP_RS03075-MONOMER	HP_RS03075	succinyldiaminopimelate transaminase	
HP_RS05125-MONOMER	HP_RS05125	homeostatic response regulator HsrA	CCI-CYTOSOL-GN
HP_RS07100-MONOMER	HP_RS07100	Signal peptide protease IV	CCI-CYTOSOL-GN
HP_RS00970-MONOMER	HP_RS00970	Hypothetical protein HP0199	
HP_RS02990-MONOMER	HP_RS02990	tripartite efflux pump periplasmic adaptor protein HefB	CCO-MEMBRANE
HP_RS05045-MONOMER	HP_RS05045	<i>apo</i>-DNA-binding transcriptional regulator Fur monomer	CCI-CYTOSOL-GN
HP_RS07015-MONOMER	HP_RS07015	sulfatase-like hydrolase/transferase	
HP_RS00885-MONOMER	HP_RS00885	Membrane protein required for colicin V production	CCO-MEMBRANE
