complex,name,genes,source
ABAYE_RS14865-MONOMER,50S ribosomal protein L25,ABAYE_RS14865(),BioCyc
ABAYE_RS04315-MONOMER,50S ribosomal protein L21,ABAYE_RS04315(),BioCyc
ABAYE_RS02660-MONOMER,50S ribosomal protein L36,ABAYE_RS02660(),BioCyc
ABAYE_RS02550-MONOMER,30S ribosomal protein S10,ABAYE_RS02550(),BioCyc
ABAYE_RS19340-MONOMER,50S ribosomal protein L34,ABAYE_RS19340(),BioCyc
ABAYE_RS07270-MONOMER,50S ribosomal protein L11 methyltransferase,ABAYE_RS07270(),BioCyc
ABAYE_RS02150-MONOMER,50S ribosomal protein L19,ABAYE_RS02150(),BioCyc
ABAYE_RS02600-MONOMER,30S ribosomal protein S17,ABAYE_RS02600(),BioCyc
ABAYE_RS07330-MONOMER,30S ribosomal protein S6,ABAYE_RS07330(),BioCyc
ABAYE_RS16835-MONOMER,50S ribosomal protein L31 type B,ABAYE_RS16835(),BioCyc
ABAYE_RS02555-MONOMER,50S ribosomal protein L3,ABAYE_RS02555(),BioCyc
ABAYE_RS17340-MONOMER,50S ribosomal protein L7/L12,ABAYE_RS17340(),BioCyc
ABAYE_RS02980-MONOMER,30S ribosomal protein S9,ABAYE_RS02980(),BioCyc
ABAYE_RS02595-MONOMER,50S ribosomal protein L29,ABAYE_RS02595(),BioCyc
ABAYE_RS02610-MONOMER,50S ribosomal protein L24,ABAYE_RS02610(),BioCyc
ABAYE_RS02560-MONOMER,50S ribosomal protein L4,ABAYE_RS02560(),BioCyc
ABAYE_RS02635-MONOMER,50S ribosomal protein L18,ABAYE_RS02635(),BioCyc
ABAYE_RS02615-MONOMER,50S ribosomal protein L5,ABAYE_RS02615(),BioCyc
ABAYE_RS06210-MONOMER,30S ribosomal protein S2,ABAYE_RS06210(),BioCyc
ABAYE_RS15615-MONOMER,ribosomal subunit interface protein,ABAYE_RS15615(),BioCyc
ABAYE_RS17350-MONOMER,50S ribosomal protein L1,ABAYE_RS17350(),BioCyc
ABAYE_RS16540-MONOMER,50S ribosomal protein L33,ABAYE_RS16540(),BioCyc
ABAYE_RS02620-MONOMER,30S ribosomal protein S14,ABAYE_RS02620(),BioCyc
ABAYE_RS06850-MONOMER,30S ribosomal protein S21,ABAYE_RS06850(),BioCyc
ABAYE_RS02585-MONOMER,30S ribosomal protein S3,ABAYE_RS02585(),BioCyc
ABAYE_RS17345-MONOMER,50S ribosomal protein L10,ABAYE_RS17345(),BioCyc
ABAYE_RS16980-MONOMER,30S ribosomal protein S15,ABAYE_RS16980(),BioCyc
ABAYE_RS17355-MONOMER,50S ribosomal protein L11,ABAYE_RS17355(),BioCyc
ABAYE_RS14680-MONOMER,30S ribosomal protein S12,ABAYE_RS14680(),BioCyc
