Modified_enzyme,Core_enzyme,Modifications,Source
RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1),RED-THIOREDOXIN2-MONOMER,Oxidized(1),Homology
CYT-O-UBIOX-CPLX_mod_pheme(1)_mod_hemeO(1)_mod_cu2(1),CYT-O-UBIOX-CPLX,pheme(1) AND hemeO(1) AND cu2(1),Homology
DETHIOBIOTIN-SYN-CPLX_mod_mg2(1),DETHIOBIOTIN-SYN-CPLX,mg2(1),Homology
GLUCONOKINII-CPLX_mod_mg2(1),GLUCONOKINII-CPLX,mg2(1),Homology
HOLO-ACP-SYNTH-CPLX_mod_mg2(1),HOLO-ACP-SYNTH-CPLX,mg2(1),Homology
HOLO-ACP-SYNTH-CPLX_mod_mn2(1),HOLO-ACP-SYNTH-CPLX,mn2(1),Homology
L-ASPARTATE-OXID-MONOMER_mod_fad(1),L-ASPARTATE-OXID-MONOMER,fad(1),Homology
DGTPTRIPHYDRO-CPLX_mod_mg2(1),DGTPTRIPHYDRO-CPLX,mg2(1),Homology
CPLX0-782_mod_4fe4s(2),CPLX0-782,4fe4s(2),Homology
LTARTDEHYDRA-CPLX_mod_4fe4s(1),LTARTDEHYDRA-CPLX,4fe4s(1),Homology
HOMOCYSMET-MONOMER_mod_zn2(1),HOMOCYSMET-MONOMER,zn2(1),Homology
QueG_mono_mod_adocbl(1),QueG_mono,adocbl(1),Homology
QueG_mono_mod_4fe4s(2),QueG_mono,4fe4s(2),Homology
CPLX0-234_mod_mg2(1),CPLX0-234,mg2(1),Homology
CPLX0-234_mod_mn2(1),CPLX0-234,mn2(1),Homology
CPLX0-234_mod_cobalt2(1),CPLX0-234,cobalt2(1),Homology
GLUCARDEHYDRA-MONOMER_mod_mg2(1),GLUCARDEHYDRA-MONOMER,mg2(1),Homology
CPLX0-7826_mod_mg2(1),CPLX0-7826,mg2(1),Homology
CPLX0-7808_mod_mn2(1),CPLX0-7808,mn2(1),Homology
G6437-MONOMER_mod_ca2(1)_mod_pqq(1),G6437-MONOMER,ca2(1) AND pqq(1),Homology
F16B-CPLX_mod_mg2(1),F16B-CPLX,mg2(1),Homology
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_k(1),PANTOATE-BETA-ALANINE-LIG-CPLX,mg2(1) AND k(1),Homology
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_nh4(1),PANTOATE-BETA-ALANINE-LIG-CPLX,mg2(1) AND nh4(1),Homology
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2(1)_mod_k(1),PANTOATE-BETA-ALANINE-LIG-CPLX,mn2(1) AND k(1),Homology
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2(1)_mod_nh4(1),PANTOATE-BETA-ALANINE-LIG-CPLX,mn2(1) AND nh4(1),Homology
CDPDIGLYSYN-MONOMER_mod_mg2(1)_mod_k(1),CDPDIGLYSYN-MONOMER,mg2(1) AND k(1),Homology
TadA_dim_mod_zn2(2),TadA_dim,zn2(2),Homology
ASNSYNA-CPLX_mod_mg2(1),ASNSYNA-CPLX,mg2(1),Homology
XYLISOM-CPLX_mod_mn2(1),XYLISOM-CPLX,mn2(1),Homology
RNase_T_dim_mod_mg2(4),RNase_T_dim,mg2(4),Homology
G7166-MONOMER_mod_pydx5p(1),G7166-MONOMER,pydx5p(1),Homology
UDP-NACMUR-ALA-LIG-MONOMER_mod_mg2(1),UDP-NACMUR-ALA-LIG-MONOMER,mg2(1),Homology
CPLX0-7625_mod_cobalt2(1),CPLX0-7625,cobalt2(1),Homology
MENE-CPLX_mod_mg2(1),MENE-CPLX,mg2(1),Homology
PYRUVATEDEH-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipoyl(1),PYRUVATEDEH-CPLX,mg2(1) AND fad(1) AND thmpp(1) AND lipoyl(1),Homology
ANTHRANSYN-CPLX_mod_mg2(1),ANTHRANSYN-CPLX,mg2(1),Homology
ANTHRANSYN-CPLX_mod_cobalt2(1),ANTHRANSYN-CPLX,cobalt2(1),Homology
ANTHRANSYN-CPLX_mod_fe2(1),ANTHRANSYN-CPLX,fe2(1),Homology
HYDROG3-CPLX_mod_ni2(1),HYDROG3-CPLX,ni2(1),Homology
ACYLCOASYN-CPLX_mod_mg2(1),ACYLCOASYN-CPLX,mg2(1),Homology
OHMETHYLBILANESYN-MONOMER_mod_dpm(1),OHMETHYLBILANESYN-MONOMER,dpm(1),Homology
SUCC-DEHASE_mod_3fe4s(1)_mod_fad(1)_mod_2fe2s(1)_mod_4fe4s(1),SUCC-DEHASE,3fe4s(1) AND fad(1) AND 2fe2s(1) AND 4fe4s(1),Homology
CPLX0-3061_mod_zn2(1),CPLX0-3061,zn2(1),Homology
GARTRANSFORMYL2-MONOMER_mod_mg2(1),GARTRANSFORMYL2-MONOMER,mg2(1),Homology
CPLX0-7719_mod_4fe4s(1),CPLX0-7719,4fe4s(1),Homology
AAS-MONOMER_mod_mg2(1),AAS-MONOMER,mg2(1),Homology
CPLX-64_mod_cobalt2(1)_mod_zn2(1),CPLX-64,cobalt2(1) AND zn2(1),Homology
CPLX-64_mod_mn2(1)_mod_zn2(1),CPLX-64,mn2(1) AND zn2(1),Homology
CPLX-64_mod_ni2(1)_mod_zn2(1),CPLX-64,ni2(1) AND zn2(1),Homology
NADH-DHI-CPLX_mod_2fe2s(1)_mod_4fe4s(1)_mod_fmn(1),NADH-DHI-CPLX,2fe2s(1) AND 4fe4s(1) AND fmn(1),Homology
ARGDECARBOXBIO-CPLX_mod_mg2(1)_mod_pydx5p(4),ARGDECARBOXBIO-CPLX,mg2(1) AND pydx5p(4),Homology
GLYCEROL-KIN-CPLX_mod_mg2(1),GLYCEROL-KIN-CPLX,mg2(1),Homology
GLYCEROL-KIN-CPLX_mod_mn2(1),GLYCEROL-KIN-CPLX,mn2(1),Homology
DIACYLGLYKIN-CPLX_mod_cd2(1)_mod_zn2(1)_mod_mg2(1)_mod_mn2(1)_mod_cobalt2(1),DIACYLGLYKIN-CPLX,cd2(1) AND zn2(1) AND mg2(1) AND mn2(1) AND cobalt2(1),Homology
THREDEHYDSYN-CPLX_mod_pydx5p(1),THREDEHYDSYN-CPLX,pydx5p(1),Homology
SULFITE-REDUCT-CPLX_mod_4fe4s(1)_mod_sheme(1)_mod_fmn(1)_mod_fad(1),SULFITE-REDUCT-CPLX,4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1),Homology
BETAGALACTOSID-CPLX_mod_mg2(1),BETAGALACTOSID-CPLX,mg2(1),Homology
DUTP-PYROP-CPLX_mod_zn2(1),DUTP-PYROP-CPLX,zn2(1),Homology
EG11095-MONOMER_mod_zn2(1)_mod_fe2(1)_mod_cobalt2(1)_mod_mg2(1)_mod_mn2(1),EG11095-MONOMER,zn2(1) AND fe2(1) AND cobalt2(1) AND mg2(1) AND mn2(1),Homology
PKI-COMPLEX_mod_mg2(1)_mod_k(1),PKI-COMPLEX,mg2(1) AND k(1),Homology
PKI-COMPLEX_mod_mn2(1)_mod_k(1),PKI-COMPLEX,mn2(1) AND k(1),Homology
ACETYL-COA-CARBOXYLMULTI-CPLX_mod_btn(1),ACETYL-COA-CARBOXYLMULTI-CPLX,btn(1),Homology
GSP-CPLX_mod_mg2(1),GSP-CPLX,mg2(1),Homology
CARBODEHYDRAT-CPLX_mod_zn2(1),CARBODEHYDRAT-CPLX,zn2(1),Homology
O-SUCCINYLBENZOATE-COA-SYN-MONOMER_mod_mg2(1),O-SUCCINYLBENZOATE-COA-SYN-MONOMER,mg2(1),Homology
SARCOX-MONOMER_mod_fad(1),SARCOX-MONOMER,fad(1),Homology
CPLX0-7465_mod_pydx5p(1),CPLX0-7465,pydx5p(1),Homology
CysS_mono_mod_zn2(1),CysS_mono,zn2(1),Homology
UDPGLUCEPIM-CPLX_mod_nad(1),UDPGLUCEPIM-CPLX,nad(1),Homology
PD04413_mod_mg2(1),PD04413,mg2(1),Homology
PD04413_mod_mn2(1),PD04413,mn2(1),Homology
PD04413_mod_ca2(1),PD04413,ca2(1),Homology
PD04413_mod_zn2(1),PD04413,zn2(1),Homology
PD04413_mod_cu2(1),PD04413,cu2(1),Homology
PD04413_mod_cd2(1),PD04413,cd2(1),Homology
PD04413_mod_cobalt2(1),PD04413,cobalt2(1),Homology
PD04413_mod_ni2(1),PD04413,ni2(1),Homology
FLAVONADPREDUCT-MONOMER_mod_fad(1),FLAVONADPREDUCT-MONOMER,fad(1),Homology
ADHC-CPLX_mod_zn2(1),ADHC-CPLX,zn2(1),Homology
USHA-MONOMER_mod_zn2(1),USHA-MONOMER,zn2(1),Homology
USHA-MONOMER_mod_cobalt2(1),USHA-MONOMER,cobalt2(1),Homology
BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6),BRANCHED-CHAINAMINOTRANSFER-CPLX,pydx5p(6),Homology
BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(1),BRANCHED-CHAINAMINOTRANSFER-CPLX,pydx5p(1),Homology
FORMHYDROG2-CPLX_mod_ni2(1)_mod_fe2(1),FORMHYDROG2-CPLX,ni2(1) AND fe2(1),Homology
PDXK-CPLX_mod_zn2(1),PDXK-CPLX,zn2(1),Homology
PDXK-CPLX_mod_mg2(1),PDXK-CPLX,mg2(1),Homology
DHHB-METHYLTRANSFER-CPLX_mod_zn2(1),DHHB-METHYLTRANSFER-CPLX,zn2(1),Homology
ASPCARBTRANS-CPLX_mod_zn2(1),ASPCARBTRANS-CPLX,zn2(1),Homology
GRXC-MONOMER_mod_Oxidized(1),GRXC-MONOMER,Oxidized(1),Homology
GLUTDECARBOXB-CPLX_mod_pydx5p(1),GLUTDECARBOXB-CPLX,pydx5p(1),Homology
Trp_RS_dim_mod_mg2(1),Trp_RS_dim,mg2(1),Homology
OROPRIBTRANS-CPLX_mod_mg2(1),OROPRIBTRANS-CPLX,mg2(1),Homology
PUTA-CPLX_mod_fad(1),PUTA-CPLX,fad(1),Homology
CPLX0-7838_mod_pydx5p(1),CPLX0-7838,pydx5p(1),Homology
SUPEROX-DISMUTFE-CPLX_mod_fe3(1),SUPEROX-DISMUTFE-CPLX,fe3(1),Homology
NAG6PDEACET-CPLX_mod_zn2(1),NAG6PDEACET-CPLX,zn2(1),Homology
2OXOGLUTARATEDEH-CPLX_mod_mg2(1)_mod_lipoyl(1),2OXOGLUTARATEDEH-CPLX,mg2(1) AND lipoyl(1),Homology
TRYPSYN_mod_pydx5p(1),TRYPSYN,pydx5p(1),Homology
AGMATIN-CPLX_mod_mn2(2),AGMATIN-CPLX,mn2(2),Homology
G7596-MONOMER_mod_pydx5p(1),G7596-MONOMER,pydx5p(1),Homology
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER_mod_pydx5p(1),VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,pydx5p(1),Homology
EG12069-MONOMER_mod_fad(1),EG12069-MONOMER,fad(1),Homology
UXAC-MONOMER_mod_zn2(1),UXAC-MONOMER,zn2(1),Homology
CTPSYN-CPLX_mod_mg2(1),CTPSYN-CPLX,mg2(1),Homology
H2PTEROATESYNTH-CPLX_mod_mg2(1),H2PTEROATESYNTH-CPLX,mg2(1),Homology
GLYOXI-CPLX_mod_ni2(1),GLYOXI-CPLX,ni2(1),Homology
RED-THIOREDOXIN-MONOMER_mod_Oxidized(1),RED-THIOREDOXIN-MONOMER,Oxidized(1),Homology
IMIDHISTID-CPLX_mod_mg2(1),IMIDHISTID-CPLX,mg2(1),Homology
IMIDHISTID-CPLX_mod_mn2(1),IMIDHISTID-CPLX,mn2(1),Homology
DTMPKI-MONOMER_mod_mg2(1),DTMPKI-MONOMER,mg2(1),Homology
GALACTURIDYLYLTRANS-CPLX_mod_fe2(1)_mod_zn2(1),GALACTURIDYLYLTRANS-CPLX,fe2(1) AND zn2(1),Homology
HEMEOSYN-MONOMER_mod_mg2(1),HEMEOSYN-MONOMER,mg2(1),Homology
HEMEOSYN-MONOMER_mod_ca2(1),HEMEOSYN-MONOMER,ca2(1),Homology
LYXK-CPLX_mod_mg2(1),LYXK-CPLX,mg2(1),Homology
CPLX0-7760_mod_4fe4s(1),CPLX0-7760,4fe4s(1),Homology
YdaO_mono_mod_4fe4s(1),YdaO_mono,4fe4s(1),Homology
PEPCARBOX-CPLX_mod_mg2(1),PEPCARBOX-CPLX,mg2(1),Homology
PHOSPHOGLUCMUT-MONOMER_mod_mg2(1),PHOSPHOGLUCMUT-MONOMER,mg2(1),Homology
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_mod_mg2(1),3-METHYL-2-OXOBUT-OHCH3XFER-CPLX,mg2(1),Homology
GLUTDECARBOXA-CPLX_mod_pydx5p(1),GLUTDECARBOXA-CPLX,pydx5p(1),Homology
MALIC-NADP-CPLX_mod_mn2(1),MALIC-NADP-CPLX,mn2(1),Homology
MALIC-NADP-CPLX_mod_mg2(1),MALIC-NADP-CPLX,mg2(1),Homology
Ala_RS_tetra_mod_zn2(4),Ala_RS_tetra,zn2(4),Homology
AKBLIG-CPLX_mod_pydx5p(1),AKBLIG-CPLX,pydx5p(1),Homology
MnmC_mono_mod_fad(1),MnmC_mono,fad(1),Homology
THIKIN-MONOMER_mod_mg2(1),THIKIN-MONOMER,mg2(1),Homology
APP-UBIOX-CPLX_mod_pheme(1)_mod_hemed(1),APP-UBIOX-CPLX,pheme(1) AND hemed(1),Homology
RNase_III_dim_mod_mg2(2),RNase_III_dim,mg2(2),Homology
AERGLYC3PDEHYDROG-CPLX_mod_fad(1),AERGLYC3PDEHYDROG-CPLX,fad(1),Homology
CPLX0-7426_mod_mg2(1),CPLX0-7426,mg2(1),Homology
CYT-D-UBIOX-CPLX_mod_pheme(1)_mod_hemed(1),CYT-D-UBIOX-CPLX,pheme(1) AND hemed(1),Homology
CPLX0-7709_mod_mg2(1),CPLX0-7709,mg2(1),Homology
CPM-KDOSYNTH-MONOMER_mod_mg2(1),CPM-KDOSYNTH-MONOMER,mg2(1),Homology
GLY3KIN-MONOMER_mod_mg2(1),GLY3KIN-MONOMER,mg2(1),Homology
GLY3KIN-MONOMER_mod_cobalt2(1),GLY3KIN-MONOMER,cobalt2(1),Homology
GLY3KIN-MONOMER_mod_mn2(1),GLY3KIN-MONOMER,mn2(1),Homology
GLY3KIN-MONOMER_mod_fe2(1),GLY3KIN-MONOMER,fe2(1),Homology
GLY3KIN-MONOMER_mod_ca2(1),GLY3KIN-MONOMER,ca2(1),Homology
ARABISOM-CPLX_mod_mn2(1),ARABISOM-CPLX,mn2(1),Homology
CPLX0-7633_mod_zn2(1),CPLX0-7633,zn2(1),Homology
G6523-MONOMER_G6518-MONOMER_mod_fmn(1),G6523-MONOMER_G6518-MONOMER,fmn(1),Homology
AROK-MONOMER_mod_mg2(1),AROK-MONOMER,mg2(1),Homology
AROK-MONOMER_mod_mn2(1),AROK-MONOMER,mn2(1),Homology
AROK-MONOMER_mod_cobalt2(1),AROK-MONOMER,cobalt2(1),Homology
AROK-MONOMER_mod_fe2(1),AROK-MONOMER,fe2(1),Homology
AROK-MONOMER_mod_ca2(1),AROK-MONOMER,ca2(1),Homology
AROK-MONOMER_mod_k(1),AROK-MONOMER,k(1),Homology
SUPEROX-DISMUTMN-CPLX_mod_mn2(1),SUPEROX-DISMUTMN-CPLX,mn2(1),Homology
ORNDECARBOXDEG-CPLX_mod_pydx5p(1),ORNDECARBOXDEG-CPLX,pydx5p(1),Homology
LysII_RS_dim_mod_mg2(6),LysII_RS_dim,mg2(6),Homology
LysII_RS_dim_mod_lys__L(1),LysII_RS_dim,lys__L(1),Homology
DTDPGLUCDEHYDRAT-CPLX_mod_nad(1),DTDPGLUCDEHYDRAT-CPLX,nad(1),Homology
AROH-CPLX_mod_fe3(1),AROH-CPLX,fe3(1),Homology
PGPPHOSPHAA-MONOMER_mod_mg2(1),PGPPHOSPHAA-MONOMER,mg2(1),Homology
CPLX0-7647_mod_k(1)_mod_mg2(1),CPLX0-7647,k(1) AND mg2(1),Homology
DTDPGLUCOSEPP-MONOMER_mod_mg2(1),DTDPGLUCOSEPP-MONOMER,mg2(1),Homology
HEMN-MONOMER_mod_4fe4s(1),HEMN-MONOMER,4fe4s(1),Homology
EG10124-MONOMER_mod_bmocogdp(1),EG10124-MONOMER,bmocogdp(1),Homology
CPLX0-682_mod_mg2(1),CPLX0-682,mg2(1),Homology
THREODEHYD-CPLX_mod_zn2(1),THREODEHYD-CPLX,zn2(1),Homology
AROB-MONOMER_mod_cobalt2(1)_mod_nad(1),AROB-MONOMER,cobalt2(1) AND nad(1),Homology
MiaB_mono_mod_4fe4s(1),MiaB_mono,4fe4s(1),Homology
PPPGPPHYDRO-CPLX_mod_nh4(1)_mod_mg2(1),PPPGPPHYDRO-CPLX,nh4(1) AND mg2(1),Homology
PABASYN-CPLX_mod_mg2(1),PABASYN-CPLX,mg2(1),Homology
GLUC1PADENYLTRANS-CPLX_mod_mg2(1),GLUC1PADENYLTRANS-CPLX,mg2(1),Homology
Mfd_mono_mod_mg2(1),Mfd_mono,mg2(1),Homology
DIHYDROXYACIDDEHYDRAT-CPLX_mod_4fe4s(1),DIHYDROXYACIDDEHYDRAT-CPLX,4fe4s(1),Homology
CPLX0-7848_mod_mn2(1),CPLX0-7848,mn2(1),Homology
PDXH-CPLX_mod_fmn(1),PDXH-CPLX,fmn(1),Homology
FORMATEDEHYDROGO-CPLX_mod_bmocogdp(1),FORMATEDEHYDROGO-CPLX,bmocogdp(1),Homology
NITRATREDUCTA-CPLX_mod_bmocogdp(1)_mod_3fe4s(1)_mod_4fe4s(1),NITRATREDUCTA-CPLX,bmocogdp(1) AND 3fe4s(1) AND 4fe4s(1),Homology
G7496-MONOMER_mod_mg2(1),G7496-MONOMER,mg2(1),Homology
CPLX0-7631_mod_mn2(1),CPLX0-7631,mn2(1),Homology
ATPSYN-CPLX_EG10106-MONOMER_mod_mg2(1),ATPSYN-CPLX_EG10106-MONOMER,mg2(1),Homology
Def_mono_mod_fe2(1),Def_mono,fe2(1),Homology
DMK-MONOMER_mod_mg2(1),DMK-MONOMER,mg2(1),Homology
EG11957-MONOMER_mod_cobalt2(1),EG11957-MONOMER,cobalt2(1),Homology
GltX_mono_mod_mg2(1)_mod_zn2(1),GltX_mono,mg2(1) AND zn2(1),Homology
HISTPHOSTRANS-CPLX_mod_pydx5p(1),HISTPHOSTRANS-CPLX,pydx5p(1),Homology
GRXB-MONOMER_mod_Oxidized(1),GRXB-MONOMER,Oxidized(1),Homology
1-PFK_mod_mg2(1),1-PFK,mg2(1),Homology
GTP-CYCLOHYDRO-II-CPLX_mod_mg2(1),GTP-CYCLOHYDRO-II-CPLX,mg2(1),Homology
NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1),NUCLEOSIDE-DIP-KIN-CPLX,mg2(1),Homology
NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1),NUCLEOSIDE-DIP-KIN-CPLX,mn2(1),Homology
NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1),NUCLEOSIDE-DIP-KIN-CPLX,ca2(1),Homology
DXPREDISOM-CPLX_mod_mn2(1),DXPREDISOM-CPLX,mn2(1),Homology
DXPREDISOM-CPLX_mod_cobalt2(1),DXPREDISOM-CPLX,cobalt2(1),Homology
DXPREDISOM-CPLX_mod_mg2(1),DXPREDISOM-CPLX,mg2(1),Homology
FGAMSYN-MONOMER_mod_mg2(1),FGAMSYN-MONOMER,mg2(1),Homology
GCVMULTI-CPLX_mod_lipoyl(1),GCVMULTI-CPLX,lipoyl(1),Homology
CPLX0-3948_mod_mg2(1),CPLX0-3948,mg2(1),Homology
RpoZ_mono_mod_mg2(1),RpoZ_mono,mg2(1),Homology
METHYLENETHFREDUCT-CPLX_mod_fad(1),METHYLENETHFREDUCT-CPLX,fad(1),Homology
IscU_mod_fe2(1),IscU,fe2(1),Homology
IscU_mod_fe2(2),IscU,fe2(2),Homology
FORMHYDROGI-CPLX_mod_ni2(1)_mod_4fe4s(1),FORMHYDROGI-CPLX,ni2(1) AND 4fe4s(1),Homology
PHOSPHAGLYPSYN-MONOMER_mod_mg2(1),PHOSPHAGLYPSYN-MONOMER,mg2(1),Homology
RumB_mono_mod_4fe4s(1),RumB_mono,4fe4s(1),Homology
GLUTAMATESYN-CPLX_mod_fe2(1)_mod_fad(1),GLUTAMATESYN-CPLX,fe2(1) AND fad(1),Homology
ADCLY-CPLX_mod_pydx5p(1),ADCLY-CPLX,pydx5p(1),Homology
CPLX0-7838_CPLX0-7839_mod_pydx5p(1),CPLX0-7838_CPLX0-7839,pydx5p(1),Homology
GLYCPDIESTER-CYTO-MONOMER_mod_mg2(1),GLYCPDIESTER-CYTO-MONOMER,mg2(1),Homology
CPLX0-1622_mod_mg2(1),CPLX0-1622,mg2(1),Homology
DSBG-CPLX_mod_Oxidized(1),DSBG-CPLX,Oxidized(1),Homology
CPLX0-7525_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1),CPLX0-7525,mg2(1) AND mn2(1) AND thmpp(1),Homology
PYRUVOXID-CPLX_mod_mg2(1)_mod_thmpp(1)_mod_fad(1),PYRUVOXID-CPLX,mg2(1) AND thmpp(1) AND fad(1),Homology
MALSYNG-MONOMER_mod_mg2(1),MALSYNG-MONOMER,mg2(1),Homology
LACTALDREDUCT-CPLX_mod_fe2(1),LACTALDREDUCT-CPLX,fe2(1),Homology
ACETOLACTSYNI-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1),ACETOLACTSYNI-CPLX,mg2(1) AND fad(1) AND thmpp(1),Homology
FUMARASE-A_mod_4fe4s(1),FUMARASE-A,4fe4s(1),Homology
Thr_RS_dim_mod_zn2(1),Thr_RS_dim,zn2(1),Homology
ADENYLATECYC-MONOMER_mod_mg2(1),ADENYLATECYC-MONOMER,mg2(1),Homology
CPLX0-7744_mod_mg2(1),CPLX0-7744,mg2(1),Homology
ACSERLYB-CPLX_mod_pydx5p(1),ACSERLYB-CPLX,pydx5p(1),Homology
Tgt_hexa_mod_zn2(6),Tgt_hexa,zn2(6),Homology
ETHAMLY-CPLX_mod_adocbl(1),ETHAMLY-CPLX,adocbl(1),Homology
RHAMNULPALDOL-CPLX_mod_k(1)_mod_zn2(1),RHAMNULPALDOL-CPLX,k(1) AND zn2(1),Homology
APHA-CPLX_mod_mg2(1),APHA-CPLX,mg2(1),Homology
PGMI-MONOMER_mod_mn2(1),PGMI-MONOMER,mn2(1),Homology
CPLX0-7643_mod_mg2(1),CPLX0-7643,mg2(1),Homology
EG11470-MONOMER_mod_mg2(1),EG11470-MONOMER,mg2(1),Homology
PANTOTHENATE-KIN-CPLX_mod_mg2(1),PANTOTHENATE-KIN-CPLX,mg2(1),Homology
CPLX0-7776_mod_mn2(1),CPLX0-7776,mn2(1),Homology
FOLXTET-CPLX_mod_mg2(1),FOLXTET-CPLX,mg2(1),Homology
FOLXTET-CPLX_mod_mn2(1),FOLXTET-CPLX,mn2(1),Homology
FOLXTET-CPLX_mod_ca2(1),FOLXTET-CPLX,ca2(1),Homology
UDPNACETYLMURAMATEDEHYDROG-MONOMER_mod_fad(1),UDPNACETYLMURAMATEDEHYDROG-MONOMER,fad(1),Homology
MALDEXPHOSPHORYL-CPLX_mod_pydx5p(1),MALDEXPHOSPHORYL-CPLX,pydx5p(1),Homology
Fmt_mono_mod_mg2(1)_mod_k(1),Fmt_mono,mg2(1) AND k(1),Homology
CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_4fe4s(8)_mod_2fe2s(2)_mod_bmocogdp(1)_mod_NiFeCoCN2(1),CPLX0-250_FORMATEDEHYDROGH-MONOMER,4fe4s(8) AND 2fe2s(2) AND bmocogdp(1) AND NiFeCoCN2(1),Homology
LYSDECARBOX-CPLX_mod_pydx5p(1),LYSDECARBOX-CPLX,pydx5p(1),Homology
DHPDIOXYGEN-CPLX_mod_fe2(1),DHPDIOXYGEN-CPLX,fe2(1),Homology
ADHE-CPLX_mod_fe2(1),ADHE-CPLX,fe2(1),Homology
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX_mod_mg2(1)_mod_fe2(1),RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,mg2(1) AND fe2(1),Homology
EG11597-MONOMER_mod_amp(1),EG11597-MONOMER,amp(1),Homology
EG11597-MONOMER_mod_coo(1),EG11597-MONOMER,coo(1),Homology
EG11597-MONOMER_mod_cosh(1),EG11597-MONOMER,cosh(1),Homology
Rho_hexa_mod_mg2(3),Rho_hexa,mg2(3),Homology
EG10983-MONOMER_mod_mg2(1),EG10983-MONOMER,mg2(1),Homology
EG10626-MONOMER_mod_mn2(1)_mod_mg2(1),EG10626-MONOMER,mn2(1) AND mg2(1),Homology
CPLX0-3721_mod_mg2(1),CPLX0-3721,mg2(1),Homology
RNase_E_tetra_mod_zn2(2),RNase_E_tetra,zn2(2),Homology
