Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
STM3003-MONOMER,phosphoenolpyruvate--protein phosphotransferase,STM3003,CCI-CYTOSOL-GN
STM4550-MONOMER,siderophore-iron reductase,STM4550,
STM1869A-MONOMER,hypothetical protein,STM1869A,
STM2620-MONOMER,Gifsy-1 prophage protein,STM2620,
STM0455-MONOMER,7-cyano-7-deazaguanine synthase,STM0455,
STM2248-MONOMER,thiol:disulfide interchange protein,STM2248,
STM0715-MONOMER,putative cytoplasmic protein,STM0715,
STM3008-MONOMER,NADP(H)-dependent aldo-keto reductase,STM3008,
STM2625-MONOMER,Gifsy-1 prophage protein,STM2625,
STM3379-MONOMER,acetyl-CoA carboxylase biotin carboxyl carrier subunit,STM3379,CCI-CYTOSOL-GN
STM0720-MONOMER,putative glycosyl transferase,STM0720,
STM3384-MONOMER,tRNA dihydrouridine synthase,STM3384,
STM3755-MONOMER,putative cytoplasmic protein,STM3755,
STM3760-MONOMER,putative cytoplasmic protein,STM3760,
STM1104-MONOMER,5-carboxymethyl-2-hydroxymuconate delta-isomerase,STM1104,
STM1099-MONOMER,"4-hydroxyphenylacetate 3-monooxygenase, oxygenase component",STM1099,
STM1482-MONOMER,multidrug transporter subunit,STM1482,CCI-PM-BAC-NEG-GN
STM0059-MONOMER,citrate lyase acyl carrier protein,STM0059,CCI-CYTOSOL-GN
STM1477-MONOMER,putative amino acid transporter,STM1477,CCI-PM-BAC-NEG-GN
STM4160-MONOMER,thiazole synthase,STM4160,CCI-CYTOSOL-GN
STM4534-MONOMER,Fis family transcriptional regulator,STM4534,CCO-MEMBRANE
STM0054-MONOMER,oxaloacetate decarboxylase beta chain 1,STM0054,CCI-PM-BAC-NEG-GN
STM1854-MONOMER,putative inner membrane protein,STM1854,
STM0439-MONOMER,protoheme IX farnesyltransferase,STM0439,CCI-PM-BAC-NEG-GN
STM4155-MONOMER,putative inner membrane protein,STM4155,CCO-MEMBRANE
STM2232-MONOMER,acyltransferase,STM2232,CCO-MEMBRANE
STM2992-MONOMER,amino-acid N-acetyltransferase,STM2992,CCI-CYTOSOL-GN
STM4529-MONOMER,type II toxin-antitoxin system antitoxin,STM4529,
STM2608-MONOMER,Gifsy-1 prophage protein,STM2608,
STM0704-MONOMER,potassium-transporting ATPase subunit C,STM0704,CCI-PM-BAC-NEG-GN
STM1849-MONOMER,putative inner membrane protein,STM1849,CCO-MEMBRANE
STM3368-MONOMER,metalloprotease,STM3368,CCI-CYTOSOL-GN
STM3743-MONOMER,tRNA (guanosine(18)-2'-O)-methyltransferase,STM3743,
STM0435-MONOMER,putative cytoplasmic protein,STM0435,
STM1088-MONOMER,effector protein,STM1088,CCI-EXTRACELLULAR-GN // CCO-MEMBRANE
STM1463-MONOMER,adenosine deaminase,STM1463,CCI-CYTOSOL-GN
STM2226-MONOMER,nucleoid-associated protein,STM2226,CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
STM0043-MONOMER,30S ribosomal protein S20,STM0043,CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
STM4138-MONOMER,biotin--[acetyl-CoA-carboxylase] synthetase,STM4138,CCI-CYTOSOL-GN
STM2985-MONOMER,cysteine desulfurase sulfur acceptor subunit,STM2985,
STM4518-MONOMER,putative inner membrane protein,STM4518,
STM1838-MONOMER,DUF2627 domain-containing protein,STM1838,
STM2603-MONOMER,Gifsy-1 prophage protein,STM2603,
STM0423-MONOMER,"(2E,6E)-farnesyl diphosphate synthase",STM0423,
STM2215-MONOMER,phage resistance protein,STM2215,CCI-PM-BAC-NEG-GN
STM0699-MONOMER,5-nitroimidazole antibiotic resistance protein,STM0699,
STM2973-MONOMER,lactaldehyde reductase,STM2973,CCI-CYTOSOL-GN
STM2592-MONOMER,Gifsy-1 prophage protein,STM2592,
STM3363-MONOMER,putative cytoplasmic protein,STM3363,
STM0687-MONOMER,chitoporin,STM0687,CCI-OUTER-MEM-GN
STM3352-MONOMER,oxaloacetate decarboxylase subunit alpha,STM3352,
STM3738-MONOMER,putative inner membrane protein,STM3738,CCI-PM-BAC-NEG-GN
STM3727-MONOMER,50S ribosomal protein L33,STM3727,CCI-RIBOSOME-GN
STM1071-MONOMER,cell division inhibitor,STM1071,
STM1082-MONOMER,AraC family transcriptional regulator,STM1082,
STM1447-MONOMER,lysozyme inhibitor,STM1447,CCO-MEMBRANE
STM0027-MONOMER,fimbrial chaparone,STM0027,CCI-PERI-BAC-GN
STM1458-MONOMER,electron transport complex subunit,STM1458,CCI-PM-BAC-NEG-GN
STM4116-MONOMER,PTS fructose-specific transporter subunit EIIB,STM4116,CCI-PM-BAC-NEG-GN
STM4502-MONOMER,putative cytoplasmic protein,STM4502,
STM0038-MONOMER,putative arylsulfatase,STM0038,
STM1822-MONOMER,putative translation initiation inhibitor,STM1822,
STM0407-MONOMER,protein-export membrane protein,STM0407,CCI-PM-BAC-NEG-GN
STM4128-MONOMER,putative inner membrane protein,STM4128,CCO-MEMBRANE
STM2198-MONOMER,MFS transporter,STM2198,CCI-PM-BAC-NEG-GN
STM2956-MONOMER,GTP diphosphokinase,STM2956,CCI-PM-BAC-NEG-GN // CCI-CW-BAC-NEG-GN
STM4513-MONOMER,putative permease,STM4513,CCI-PM-BAC-NEG-GN
STM2577-MONOMER,holo-ACP synthase,STM2577,CCI-CYTOSOL-GN
STM0664-MONOMER,amino acid ABC transporter permease,STM0664,CCI-PM-BAC-NEG-GN
STM1833-MONOMER,UPF0266 membrane protein,STM1833,CCI-PM-BAC-NEG-GN
STM3336-MONOMER,N-acetylmannosamine kinase,STM3336,
STM3711-MONOMER,lipopolysaccharide heptosyltransferase II,STM3711,CCI-CYTOSOL-GN
STM0418-MONOMER,N utilization substance protein B,STM0418,CCI-CYTOSOL-GN
STM1055-MONOMER,Gifsy-2 prophage protein,STM1055,
STM1431-MONOMER,superoxide dismutase,STM1431,CCI-CYTOSOL-GN
STM2209-MONOMER,putative inner membrane protein,STM2209,CCO-MEMBRANE
STM0011-MONOMER,hypothetical protein,STM0011,
STM4099-MONOMER,transcriptional repressor,STM4099,CCI-CYTOSOL-GN
STM2968-MONOMER,NADPH-dependent 7-cyano-7-deazaguanine reductase,STM2968,CCI-CYTOSOL-GN
STM4485-MONOMER,gluconate kinase,STM4485,
STM1806-MONOMER,Na+/H+ antiporter,STM1806,CCI-PM-BAC-NEG-GN
STM2587-MONOMER,Gifsy-1 prophage protein,STM2587,
STM0391-MONOMER,pyrimidine/purine nucleoside phosphorylase,STM0391,CCI-CYTOSOL-GN
STM2182-MONOMER,CidB/LrgB family autolysis modulator,STM2182,CCO-MEMBRANE
STM0682-MONOMER,transcriptional regulator,STM0682,
STM2940-MONOMER,type I-E CRISPR-associated protein Cas5/CasD,STM2940,
STM2560-MONOMER,MFS transporter,STM2560,CCI-PM-BAC-NEG-GN
STM3347-MONOMER,putative periplasmic protein,STM3347,CCI-PM-BAC-NEG-GN
STM0648-MONOMER,leucine tRNA synthetase,STM0648,CCI-CYTOSOL-GN
STM3320-MONOMER,RNA polymerase factor sigma-54,STM3320,
STM3722-MONOMER,lipopolysaccharide glucosyltransferase I,STM3722,
STM3695-MONOMER,tRNA (uridine(34)/cytosine(34)/5- carboxymethylaminomethyluridine(34)-2'-O)- methyltransferase,STM3695,CCI-CYTOSOL-GN
STM1038-MONOMER,Gifsy-2 prophage probable major tail protein,STM1038,
STM1066-MONOMER,ribosome modulation factor,STM1066,CCI-CYTOSOL-GN
STM1413-MONOMER,type III secretion system protein,STM1413,
PSLT105-MONOMER,conjugative transfer,PSLT105,CCO-MEMBRANE
STM1442-MONOMER,putative multidrug resistance efflux pump,STM1442,CCI-PM-BAC-NEG-GN
STM4083-MONOMER,putative inner membrane protein,STM4083,CCI-PM-BAC-NEG-GN
STM4469-MONOMER,ornithine carbamoyltransferase,STM4469,CCI-CYTOSOL-GN
STM0022-MONOMER,fimbrial chaperone protein,STM0022,CCI-PERI-BAC-GN
STM1790-MONOMER,hydrogenase-1 operon protein,STM1790,
STM0375-MONOMER,penicillin- binding protein,STM0375,
STM4110-MONOMER,phosphoenolpyruvate--protein phosphotransferase,STM4110,CCI-CYTOSOL-GN
STM2166-MONOMER,beta-glucosidase,STM2166,CCI-PERI-BAC-GN
STM2924-MONOMER,RNA polymerase sigma factor,STM2924,CCI-CYTOSOL-GN
STM4497-MONOMER,putative cytoplasmic protein,STM4497,
STM2544-MONOMER,Fe-S cluster assembly transcriptional regulator,STM2544,CCI-CYTOSOL-GN
STM0632-MONOMER,Sec-independent protein translocase,STM0632,CCI-PM-BAC-NEG-GN
STM1817-MONOMER,RNase D,STM1817,CCI-CYTOSOL-GN
STM3304-MONOMER,50S ribosomal protein L21,STM3304,CCI-RIBOSOME-GN
STM3679-MONOMER,putative cytoplasmic protein,STM3679,
STM0402-MONOMER,peroxiredoxin,STM0402,CCI-CYTOSOL-GN
STM1022-MONOMER,"Gifsy-2 prophage putative molecular chaperone, DnaJ family",STM1022,
STM1397-MONOMER,type III secretion system chaperone,STM1397,CCI-CYTOSOL-GN
STM2193-MONOMER,GTP cyclohydrolase I,STM2193,CCI-CYTOSOL-GN
PSLT088-MONOMER,conjugative transfer: assembly,PSLT088,
STM4067-MONOMER,putative ADP-ribosylglycohydrolase,STM4067,
STM2951-MONOMER,7-carboxy-7-deazaguanine synthase,STM2951,
STM4452-MONOMER,anaerobic ribonucleoside-triphosphate reductase,STM4452,CCI-CYTOSOL-GN
STM1774-MONOMER,Protein SirB2,STM1774,CCI-PM-BAC-NEG-GN
STM2572-MONOMER,putative ABC superfamily transport protein,STM2572,
STM0359-MONOMER,putative cytoplasmic protein,STM0359,
STM2151-MONOMER,putative periplasmic chaperone protein,STM2151,CCI-PERI-BAC-GN
STM0659-MONOMER,molecular chaperone,STM0659,CCI-CYTOSOL-GN
STM2908-MONOMER,putative cytoplasmic protein,STM2908,
STM2528-MONOMER,dimethyl sulfoxide reductase,STM2528,CCI-PM-BAC-NEG-GN
STM3331-MONOMER,glutamate synthase small subunit,STM3331,
STM0616-MONOMER,nucleoside diphosphate kinase regulator,STM0616,
STM3285-MONOMER,ribosome-binding factor A,STM3285,CCI-CYTOSOL-GN
STM3706-MONOMER,putative periplasmic protein,STM3706,
STM3663-MONOMER,Gene transcribed divergently from malS,STM3663,
STM1006-MONOMER,Gifsy-2 prophage excisionase,STM1006,
STM1049-MONOMER,Gifsy-2 prophage probable tail fiber protein,STM1049,
STM1381-MONOMER,putative cytoplasmic protein,STM1381,
PSLT069-MONOMER,Plasmid SOS inhibition,PSLT069,
STM1426-MONOMER,riboflavin synthase subunit alpha,STM1426,CCI-CYTOSOL-GN
STM4051-MONOMER,putative outer membrane protein,STM4051,CCI-OUTER-MEM-GN
STM4436-MONOMER,protein iolH,STM4436,
STM0006-MONOMER,sodium:alanine symporter family protein,STM0006,CCI-PM-BAC-NEG-GN
STM1755-MONOMER,hypothetical protein,STM1755,
STM0343-MONOMER,putative diguanylate cyclase/phosphodiesterase domain 1,STM0343,CCI-PM-BAC-NEG-GN
STM4094-MONOMER,DNA-binding transcriptional regulator,STM4094,
STM2135-MONOMER,putative inner membrane protein,STM2135,
STM2892-MONOMER,antigen presentation protein,STM2892,CCI-CYTOSOL-GN
STM4480-MONOMER,lipopolysaccharide ABC transporter permease,STM4480,CCI-PM-BAC-NEG-GN
STM2512-MONOMER,exodeoxyribonuclease VII large subunit,STM2512,CCI-CYTOSOL-GN
STM0600-MONOMER,carbon starvation protein A,STM0600,CCI-PM-BAC-NEG-GN
STM1801-MONOMER,K+/H+ antiporter,STM1801,CCI-PM-BAC-NEG-GN
STM3269-MONOMER,protease,STM3269,
STM3646-MONOMER,bifunctional glyoxylate/hydroxypyruvate reductase B,STM3646,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM0386-MONOMER,pyrroline-5-carboxylate reductase,STM0386,CCI-CYTOSOL-GN
STM0990-MONOMER,putative KicA protein,STM0990,CCI-PM-BAC-NEG-GN
STM1365-MONOMER,putative oxidase,STM1365,
STM2177-MONOMER,5-carboxymethyl-2-hydroxymuconate isomerase,STM2177,
PSLT051-MONOMER,Recombination-promoting nuclease pSLT051,PSLT051,
STM4036-MONOMER,formate dehydrogenase O subunit beta,STM4036,CCI-PM-BAC-NEG-GN
STM2935-MONOMER,sulfate adenylyltransferase small subunit,STM2935,
STM4420-MONOMER,5-deoxy-glucuronate isomerase,STM4420,
STM1739-MONOMER,cardiolipin synthase,STM1739,CCI-PM-BAC-NEG-GN
STM2555-MONOMER,serine hydroxymethyltransferase,STM2555,CCI-CYTOSOL-GN
STM0327-MONOMER,putative cytoplasmic protein,STM0327,
STM2118-MONOMER,polysaccharide exporter,STM2118,CCI-OUTER-MEM-GN
STM0643-MONOMER,adenosylcobalamin / alpha-ribazole phosphatase,STM0643,CCI-CYTOSOL-GN
STM2876-MONOMER,transcriptional regulator,STM2876,CCI-CYTOSOL-GN
STM2496-MONOMER,DnaA regulatory inactivator,STM2496,
STM3315-MONOMER,D-arabinose 5-phosphate isomerase,STM3315,
STM0582-MONOMER,putative inner membrane protein,STM0582,CCO-MEMBRANE
STM3253-MONOMER,"D-tagatose-1,6-bisphosphate aldolase subunit",STM3253,CCI-CYTOSOL-GN
STM3690-MONOMER,Inner membrane lipoprotein,STM3690,CCI-PM-BAC-NEG-GN
STM3629-MONOMER,dipeptide ABC transporter permease,STM3629,CCI-PM-BAC-NEG-GN
STM0974-MONOMER,formate transporter,STM0974,CCI-PM-BAC-NEG-GN
STM1033-MONOMER,Gifsy-2 prophage Clp protease-like protein,STM1033,
STM1348-MONOMER,phosphoenolpyruvate synthase regulatory protein,STM1348,
PSLT035-MONOMER,putative transposase,PSLT035,
STM1408-MONOMER,EscI/YscI/HrpB family type III secretion system inner rod protein,STM1408,
STM3626-MONOMER,dipeptide ABC transporter ATP-binding protein,STM3626,
STM0971-MONOMER,putative cytoplasmic protein,STM0971,
PSLT100-MONOMER,conjugative transfer: assembly,PSLT100,
STM1345-MONOMER,hypothetical protein,STM1345,
PSLT032-MONOMER,putative diguanylate cyclase/phosphodiesterase,PSLT032,
STM4078-MONOMER,autoinducer 2 aldolase,STM4078,CCI-CYTOSOL-GN
STM4017-MONOMER,MFS transporter,STM4017,CCI-PM-BAC-NEG-GN
STM4401-MONOMER,NAD(P)-dependent oxidoreductase,STM4401,
STM4464-MONOMER,ion transporter superfamily protein,STM4464,CCI-PM-BAC-NEG-GN
STM1720-MONOMER,putative translation factor,STM1720,
STM0305-MONOMER,putative cytoplasmic protein,STM0305,
STM1785-MONOMER,putative cytoplasmic protein,STM1785,
STM2099-MONOMER,colanic acid biosynthesis protein,STM2099,
STM2857-MONOMER,putative hydrogenase expression/formation protein,STM2857,
STM0370-MONOMER,2-methylcitrate dehydratase,STM0370,
STM2477-MONOMER,GDP-mannose pyrophosphatase,STM2477,CCI-CYTOSOL-GN
STM0563-MONOMER,AraC family transcriptional regulator,STM0563,
STM2161-MONOMER,UPF0387 membrane protein,STM2161,CCI-PM-BAC-NEG-GN
STM3233-MONOMER,glutathione-dependent reductase,STM3233,CCI-CYTOSOL-GN
STM3611-MONOMER,cyclic-guanylate-specific phosphodiesterase,STM3611,
STM2919-MONOMER,DeoR family transcriptional regulator,STM2919,
STM0954-MONOMER,putative inner membrane protein,STM0954,
STM1329-MONOMER,putative inner membrane protein,STM1329,CCO-MEMBRANE
STM2539-MONOMER,Fe-S protein assembly chaperone,STM2539,CCI-CYTOSOL-GN
PSLT014-MONOMER,putative outer membrane protein,PSLT014,
STM4001-MONOMER,YihA family ribosome biogenesis GTP-binding protein,STM4001,CCI-CYTOSOL-GN
STM0627-MONOMER,anaerobic C4-dicarboxylate transporter,STM0627,CCI-PM-BAC-NEG-GN
STM4385-MONOMER,PTS ascorbate-specific transporter subunit IIA,STM4385,CCI-CYTOSOL-GN
STM1704-MONOMER,DeoR family transcriptional regulator,STM1704,
STM3298-MONOMER,putative RNA-binding protein,STM3298,
STM0287-MONOMER,putative periplasmic protein,STM0287,
STM2083-MONOMER,phosphomannomutase,STM2083,CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
STM3674-MONOMER,carbohydrate kinase,STM3674,
STM2841-MONOMER,FAD-dependent oxidoreductase,STM2841,CCI-CYTOSOL-GN
STM2461-MONOMER,ethanol dehydrogenase,STM2461,CCI-CYTOSOL-GN
STM1017-MONOMER,Gifsy-2 prophage protein,STM1017,
STM0543-MONOMER,type-1 fimbrial protein subunit A,STM0543,CCI-PILUS-GN
STM3217-MONOMER,Aerotaxis sensor receptor,STM3217,CCI-PM-BAC-NEG-GN
STM1392-MONOMER,hybrid sensor histidine kinase/response regulator,STM1392,CCI-PM-BAC-NEG-GN
STM3595-MONOMER,phosphoesterase PA-phosphatase,STM3595,CCI-PERI-BAC-GN
STM0935-MONOMER,pyruvate oxidase,STM0935,CCI-PM-BAC-NEG-GN
PSLT082-MONOMER,conjugative transfer,PSLT082,CCO-MEMBRANE
STM1313-MONOMER,"PTS N,N'-diacetylchitobiose transporter subunit IIC",STM1313,CCI-PM-BAC-NEG-GN
MONOMER1R65-12,<i>holo</i> [EntF peptidyl-carrier protein],STM0588,
STM4062-MONOMER,ATP-dependent 6-phosphofructokinase,STM4062,CCI-CYTOSOL-GN
STM3979-MONOMER,NAD(P)H-flavin reductase,STM3979,
STM4369-MONOMER,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,STM4369,CCI-CYTOSOL-GN
STM4447-MONOMER,2-dehydro-3-deoxyphosphooctonate aldolase,STM4447,
STM1689-MONOMER,phage shock protein B,STM1689,CCO-MEMBRANE
STM0272-MONOMER,ClpV1 family T6SS ATPase,STM0272,
STM1769-MONOMER,putative ACR protein,STM1769,CCI-CYTOSOL-GN
STM2067-MONOMER,exodeoxyribonuclease I,STM2067,
STM2820-MONOMER,fructose-1-phosphate/6-phosphogluconate phosphatase,STM2820,
STM0354-MONOMER,Cu(I)-responsive transcriptional regulator,STM0354,
STM2445-MONOMER,NAD(P)-dependent oxidoreductase,STM2445,
STM0527-MONOMER,allantoate amidohydrolase,STM0527,
STM2146-MONOMER,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,STM2146,CCI-CYTOSOL-GN
STM3200-MONOMER,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,STM3200,CCI-CYTOSOL-GN
STM3579-MONOMER,hypothetical protein,STM3579,CCI-PM-BAC-NEG-GN
STM2903-MONOMER,putative cytoplasmic protein,STM2903,
STM0919-MONOMER,putative Fels-1 prophage minor tail protein,STM0919,
STM1297-MONOMER,selenophosphate synthase,STM1297,CCI-CYTOSOL-GN
STM2523-MONOMER,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,STM2523,
STM3963-MONOMER,EamA family transporter,STM3963,CCI-PM-BAC-NEG-GN
